EpisodesSoFar,meankl,MtR,Ptt,Tbt,MpbtA,surrgain,MpbtN,entropy,TtR,entloss,optimgain,AttNC,TimeElapsed,AttC,Tmc,Tmt,TimestepsSoFar
564,0.008183013,-66.89099126527816,72.74184733134929,305362.609929078,2.477499499903486,0.002970624,97.52250050009651,0.68488157,-727.0035460992908,0.0,0.002970624,0.0,1398.114308834076,10.0,29.49822695035461,74.55141843971631,9994
1053,0.009541385,-64.69751352335659,71.95517512951002,301964.8261758691,3.334955662161222,0.0022877776,96.66504433783882,0.6581506,-712.5562372188139,0.0,0.0022877776,0.0,2594.9648678302765,10.0,30.34355828220859,73.72188139059304,19978
1466,0.0091146575,-61.965502741342725,71.18665257756328,298769.97578692494,4.649542127924238,0.0050308416,95.35045787207578,0.6157657,-695.4479418886199,0.0,0.0050308416,0.0,3593.397052526474,10.0,31.18401937046005,72.94188861985472,29996
1764,0.008362669,-56.682013459833975,70.19260919611597,294650.8456375839,7.715141609514799,0.0044442336,92.28485839048518,0.56534296,-663.6912751677852,0.0,0.0044442336,0.0,4347.586083650589,10.0,32.27181208053691,71.93624161073825,39969
1942,0.008145659,-47.058435130040124,69.75078673445584,292979.0561797753,15.593775447557075,0.0032511756,84.4062245524429,0.50877285,-603.9887640449438,0.0,0.0032511756,0.0,4812.949057817459,10.0,32.7752808988764,71.52808988764045,49992
2008,0.008049647,-25.275509768466076,67.48505835145663,283679.0303030303,41.19053272505468,0.0022310962,58.80946727494531,0.43888363,-407.8787878787879,0.0,0.0022310962,0.3787878787878788,5054.66149187088,9.621212121212121,35.27272727272727,69.25757575757575,59926
2063,0.0031844117,-14.90563194358621,63.33967764157755,266463.41818181815,64.32258956584158,0.00086230884,35.67741043415844,0.30481747,-234.36363636363637,0.0,0.00086230884,5.818181818181818,5297.809235334396,4.181818181818182,39.8,65.05454545454545,70000
2119,0.00350736,-13.577098059383454,62.40456478763632,262582.85714285716,68.54977225207098,0.0014922647,31.450227747929006,0.32624432,-201.78571428571428,0.0,0.0014922647,6.571428571428571,5549.615107059479,3.4285714285714284,40.82142857142857,64.10714285714286,79944
2175,0.0017992384,-14.18561550455081,62.28378277231425,262144.0,66.40404238798754,0.0008886191,33.59595761201244,0.33130553,-216.07142857142858,0.0,0.0008886191,4.125,5801.460641860962,5.875,40.964285714285715,64.0,89956
2233,0.0021967434,-13.200429661556836,61.34654072715631,258189.24137931035,70.42542611768519,0.0013133022,29.57457388231481,0.32674322,-185.86206896551724,0.0,0.0013133022,5.896551724137931,6076.121736049652,4.103448275862069,41.98275862068966,63.03448275862069,99926
2291,0.0022931586,-12.113773651666627,59.74477991264643,251268.41379310345,71.34082452373788,0.0010492904,28.65917547626213,0.37536788,-176.0344827586207,0.0,0.0010492904,3.6379310344827585,6343.440056562424,6.362068965517241,43.689655172413794,61.3448275862069,109842
2356,0.0072278553,-15.044868522114907,62.58485181597585,263404.3076923077,62.89934383281968,0.0020286972,37.100656167180325,0.3641861,-240.92307692307693,0.0,0.0020286972,1.0153846153846153,6624.860615491867,8.984615384615385,40.63076923076923,64.3076923076923,119940
2414,0.003829671,-12.58380726755259,61.424388972409126,258401.10344827586,70.59520821424636,0.0016328183,29.404791785753634,0.36367333,-186.20689655172413,0.0,0.0016328183,5.448275862068965,6916.008288145065,4.551724137931035,41.87931034482759,63.08620689655172,129920
2472,0.0058334814,-12.873933358571655,61.066834532015555,256847.44827586206,69.6856030160428,0.0023317523,30.314396983957216,0.3731239,-190.17241379310346,0.0,0.0023317523,4.155172413793103,7195.685392618179,5.844827586206897,42.258620689655174,62.706896551724135,139865
2533,0.0022609897,-12.971034310085447,59.25285233816204,249117.37704918033,70.38683466458684,0.001139913,29.613165335413154,0.35326484,-179.34426229508196,0.0,0.001139913,2.7704918032786887,7478.65927529335,7.229508196721311,44.21311475409836,60.81967213114754,149842
