TimestepsSoFar,EpisodesSoFar,entropy,Tmc,optimgain,AttNC,MpbtA,Ptt,surrgain,meankl,TimeElapsed,TtR,AttC,MpbtN,Tmt,entloss,MtR,Tbt
9987,577,0.6846502,29.66897746967071,0.0028454377,0.0,2.530740663126314,72.58480918859578,0.0028454377,0.008530433,1450.058577299118,-725.0086655112651,10.0,97.46925933687358,74.38994800693241,0.0,-66.84259699421722,304701.22703639517
19988,1063,0.65811294,30.47119341563786,0.0027919353,0.0,3.34638170076865,71.83954541022979,0.0027919353,0.009168683,2679.2963004112244,-711.3991769547325,10.0,96.65361829923121,73.60699588477367,0.0,-64.54805060304666,301494.25514403294
30000,1465,0.6179526,31.442786069651742,0.004807313,0.0,4.491638294569302,70.9483711081724,0.004807313,0.00863818,3704.994049549103,-694.2537313432836,10.0,95.50836170543072,72.69900497512438,0.0,-61.683588812870546,297775.12437810947
39977,1767,0.5606821,31.996688741721854,0.0045626513,0.0,7.521605600014261,70.4360306365037,0.0045626513,0.00934271,4464.575259685516,-667.317880794702,10.0,92.47839439998567,72.16556291390728,0.0,-57.14593574198513,295590.1456953642
49936,1925,0.50144356,32.60126582278481,0.0017342377,0.012658227848101266,15.255950091427696,69.89450848406143,0.0017342377,0.00750302,4910.921115875244,-606.8987341772151,9.987341772151899,84.74404990857235,71.63924050632912,0.0,-46.359362006408794,293434.32911392406
59978,1987,0.42259097,35.11290322580645,0.0017695575,0.7580645161290323,36.99487754021929,67.60841862849561,0.0017695575,0.0059113973,5166.360453605652,-438.38709677419354,9.241935483870968,63.00512245978072,69.33870967741936,0.0,-26.950512035432993,284011.3548387097
69932,2039,0.3976566,39.53846153846154,0.0014729676,5.230769230769231,61.574652278800436,63.63407091994615,0.0014729676,0.004406343,5431.8098311424255,-251.92307692307693,4.769230769230769,38.42534772119955,65.46153846153847,0.0,-15.55575685274833,268130.46153846156
79956,2092,0.3940128,39.509433962264154,0.0012790107,2.2641509433962264,60.23781688274045,63.63068685436655,0.0012790107,0.004678917,5688.301644086838,-261.1320754716981,7.735849056603773,39.76218311725955,65.39622641509433,0.0,-15.597414304288746,267862.9433962264
89937,2150,0.34855902,41.258620689655174,0.0013085682,6.431034482758621,71.0560344036269,62.00102406834632,0.0013085682,0.0039418624,5951.693165779114,-183.9655172413793,3.5689655172413794,28.943965596373086,63.689655172413794,0.0,-12.533374273907361,260872.8275862069
99947,2212,0.39804503,39.29032258064516,0.0016436096,1.1129032258064515,60.75573920356916,63.82764281138853,0.0016436096,0.0049411566,6232.179530382156,-260.0,8.887096774193548,39.244260796430844,65.59677419354838,0.0,-16.090967658359688,268684.3870967742
109862,2269,0.34867352,40.14035087719298,0.0016656806,5.754385964912281,67.66341180435262,63.02869540516936,0.0016656806,0.003807956,6512.090676784515,-209.82456140350877,4.245614035087719,32.33658819564738,64.73684210526316,0.0,-13.872118083814893,265162.1052631579
119896,2328,0.3145185,43.067796610169495,0.0011121741,3.7457627118644066,69.75820626371883,60.3104919930653,0.0011121741,0.003597893,6774.614350318909,-189.15254237288136,6.254237288135593,30.241793736281164,61.91525423728814,0.0,-12.672073352862212,253604.88135593222
129874,2387,0.32935524,41.440677966101696,0.0019594638,6.593220338983051,68.31289825036639,61.83774874909814,0.0019594638,0.0053135604,7051.551019668579,-202.20338983050848,3.406779661016949,31.687101749633605,63.52542372881356,0.0,-14.128556109120016,260200.13559322033
139966,2450,0.28916848,42.3968253968254,0.0018248837,2.238095238095238,69.93598937673744,60.91124625198088,0.0018248837,0.0088069765,7309.135151386261,-190.15873015873015,7.761904761904762,30.064010623262575,62.507936507936506,0.0,-12.540978482812516,256032.50793650793
149870,2509,0.36835387,43.101694915254235,0.0014739336,5.237288135593221,71.85115235738333,60.28265448587426,0.0014739336,0.005840608,7566.508170127869,-174.23728813559322,4.762711864406779,28.14884764261666,61.898305084745765,0.0,-12.06564153557762,253535.45762711865
159906,2567,0.29644522,41.94827586206897,0.0013620836,2.4310344827586206,70.47057712176273,61.36478348257701,0.0013620836,0.005594131,7838.03560090065,-186.89655172413794,7.568965517241379,29.52942287823728,63.03448275862069,0.0,-12.179858758662117,258189.24137931035
169982,2627,0.352404,43.6,0.001599159,5.25,72.80191017033775,59.820234131900264,0.001599159,0.0051821116,8125.384655237198,-167.0,4.75,27.19808982966226,61.416666666666664,0.0,-11.742178938714584,251562.66666666666
179922,2687,0.3105082,42.0,0.0013946422,1.6666666666666667,67.19408430084972,61.29806335839438,0.0013946422,0.004393832,8412.852986335754,-207.66666666666666,8.333333333333334,32.80591569915026,62.93333333333333,0.0,-13.409498351646976,257774.93333333332
