MtR,meankl,Tbt,optimgain,TtR,surrgain,Ptt,entropy,AttNC,Tmc,AttC,EpisodesSoFar,TimeElapsed,MpbtN,MpbtA,Tmt,TimestepsSoFar,entloss
-66.87918390726139,0.008024187,306099.4733096085,0.0028435516,-727.0818505338078,0.0028435516,72.92156421153094,0.6851405,0.0,29.300711743772244,10.0,562,1425.3274867534637,97.30443150992228,2.6955684900778056,74.73131672597864,9992,0.0
-64.71056777899345,0.008499079,301991.5061728395,0.0027296233,-713.2304526748972,0.0027296233,71.95432661752757,0.6612395,0.0,30.347736625514404,10.0,1048,2635.09459400177,96.7439290825524,3.256070917447534,73.72839506172839,19998,0.0
-61.50632743957279,0.009212216,297313.1034482759,0.004839203,-691.576354679803,0.004839203,70.83721061438231,0.61988235,0.0,31.564039408866996,10.0,1454,3643.6210374832153,95.29135327142396,4.708646728575989,72.58620689655173,29999,0.0
-57.74191259199514,0.009810581,294418.962962963,0.0047090086,-668.3024691358024,0.0047090086,70.0990721075102,0.5616525,0.0,32.391975308641975,10.0,1778,4452.830687046051,93.00460420816317,6.995395791836789,71.87962962962963,39978,0.0
-48.098030041909944,0.0054529826,292762.16574585636,0.00142302,-612.3204419889503,0.00142302,69.72540510470245,0.5201408,0.0,32.790055248618785,10.0,1959,4947.368097782135,85.70187286209188,14.298127137908097,71.47513812154696,49949,0.0
-31.94531638742806,0.009949214,286371.40425531915,0.0029881992,-477.5531914893617,0.0029881992,68.09046031498114,0.43716028,0.05319148936170213,34.62765957446808,9.946808510638299,2053,5258.575078010559,68.17724071366133,31.82275928633865,69.91489361702128,59898,0.0
-14.520339817564714,0.0034068744,267729.45454545453,0.0012052307,-232.1818181818182,0.0012052307,63.63112954420258,0.3891001,3.963636363636364,39.49090909090909,6.036363636363636,2108,5519.3987901210785,35.39989899501425,64.60010100498577,65.36363636363636,69886,0.0
-13.2357299433922,0.0038377591,257906.75862068965,0.0010928846,-194.48275862068965,0.0010928846,61.28927377748296,0.31582648,4.051724137931035,42.03448275862069,5.948275862068965,2166,5776.002858161926,30.94396087338959,69.05603912661043,62.96551724137931,79902,0.0
-14.07556052632288,0.004327807,260166.62068965516,0.001243559,-196.89655172413794,0.001243559,61.80030970787477,0.34301376,5.913793103448276,41.5,4.086206896551724,2224,6047.202096700668,30.99489979288913,69.00510020711083,63.51724137931034,89859,0.0
-12.804802028135478,0.0060372227,258893.20634920636,0.0016227362,-190.47619047619048,0.0016227362,61.52514211554889,0.32543775,2.4603174603174605,41.77777777777778,7.5396825396825395,2287,6333.631145954132,30.03091171190017,69.96908828809983,63.20634920634921,99999,0.0
-12.790801330337027,0.0046248357,254566.4,0.0017528372,-182.5,0.0017528372,60.542484600345944,0.36535868,4.983333333333333,42.81666666666667,5.016666666666667,2347,6619.332188129425,29.370233631074033,70.62976636892598,62.15,109987,0.0
