TimestepsSoFar,TtR,Ptt,entropy,MpbtA,optimgain,surrgain,Tmc,EpisodesSoFar,MtR,AttNC,Tmt,MpbtN,TimeElapsed,Tbt,AttC,entloss,meankl
9989,-726.794425087108,72.73959246173463,0.6858342,2.49725195885742,0.0030455615,0.0030455615,29.5,574,-66.97653246697077,0.0,74.54703832752614,97.50274804114258,1314.622086763382,305344.66898954706,10.0,0.0,0.0073972414
19992,-713.8095238095239,72.05546941824379,0.6654111,3.3081039267308463,0.0022143137,0.0022143137,30.240165631469978,1057,-64.71701637925273,0.0,73.83643892339545,96.69189607326905,2398.264179468155,302434.05383022776,10.0,0.0,0.0076207276
29987,-689.5,70.70280621000205,0.6293275,4.803555735253987,0.005379707,0.005379707,31.705,1457,-61.242896337432065,0.0,72.4375,95.19644426474606,3295.0428581237793,296704.0,10.0,0.0,0.009152988
39971,-658.9273356401384,69.914467042728,0.5876614,8.051506874646952,0.005546897,0.005546897,32.5916955017301,1746,-56.03916350891711,0.0,71.68858131487889,91.94849312535304,3933.8783593177795,293636.4290657439,10.0,0.0,0.00857584
49980,-588.2089552238806,69.51810599482691,0.57517695,17.502671794275294,0.002486491,0.002486491,33.02238805970149,1880,-43.70527948866457,0.022388059701492536,71.27611940298507,82.49732820572468,4241.1779890060425,291946.98507462686,9.977611940298507,0.0,0.005992459
59959,-420.88235294117646,67.22457678779726,0.55736876,39.07647165143804,0.0013291568,0.0013291568,35.5735294117647,1948,-25.260446863241356,0.25,69.02941176470588,60.92352834856198,4398.95986366272,282744.4705882353,9.75,0.0,0.0029290207
69968,-321.25,65.5386522243547,0.46544844,52.445642879908014,0.0023316161,0.0023316161,37.421875,2012,-19.578215079332164,0.375,67.328125,47.554357120091986,4538.968554973602,275776.0,9.625,0.0,0.0063877734
79935,-220.87719298245614,63.09442749218077,0.34546062,66.03123480122443,0.0016853668,0.0016853668,40.08771929824562,2069,-15.174665606977731,4.0,64.84210526315789,33.96876519877554,4670.572245597839,265593.2631578947,6.0,0.0,0.0021563885
89957,-212.95081967213116,60.909517821701634,0.3689821,66.0223254110175,0.001273999,0.001273999,42.442622950819676,2130,-14.60901437799402,2.3114754098360657,62.57377049180328,33.977674588982495,4809.168880224228,256302.16393442624,7.688524590163935,0.0,0.0029283892
99968,-207.5,63.23039274877127,0.3894296,68.18848480582508,0.0015694184,0.0015694184,39.916666666666664,2190,-13.671740124202392,2.3,64.93333333333334,31.81151519417491,4937.078455924988,265966.93333333335,7.7,0.0,0.0033038154
109940,-191.35593220338984,61.48072528757409,0.35180062,69.64967515837046,0.0015135721,0.0015135721,41.813559322033896,2249,-13.505438623300059,5.033898305084746,63.13559322033898,30.35032484162956,5079.215260744095,258603.38983050847,4.966101694915254,0.0,0.0035728381
