TimestepsSoFar,EpisodesSoFar,Ptt,Tmc,meankl,TtR,entropy,Tmt,entloss,surrgain,optimgain,AttNC,TimeElapsed,MtR,Tbt,AttC,MpbtN,MpbtA
9993,828,82.06760015685174,19.45048309178744,0.0091994,-80.25603864734299,0.6839011,84.3828502415459,0.0,0.022138216,0.022138216,0.0,2006.5482516288757,-75.98690235203777,345632.154589372,1.0,95.1164579669428,4.883542033056947
19987,1572,81.995267191839,19.532258064516128,0.01002988,-80.34543010752688,0.6550891,84.32795698924731,0.0,0.01505155,0.01505155,0.0,3823.885488986969,-75.58677900538545,345407.311827957,1.0,95.28287957480616,4.71712042519356
29993,2203,81.98448208484142,19.54675118858954,0.010445918,-80.50713153724247,0.6067973,84.32963549920761,0.0,0.01714486,0.01714486,0.0,5367.609045267105,-74.8689350353522,345414.1870047544,1.0,95.4724968031319,4.527503196867888
39988,2708,81.93350413304732,19.598019801980197,0.010233717,-80.47920792079208,0.54201084,84.25346534653465,0.0,0.01908757,0.01908757,0.0,6594.638074398041,-73.52893858040088,345102.19405940594,1.0,95.52407584533188,4.475924154668052
49981,3096,81.89990824602523,19.63659793814433,0.01013067,-80.22164948453609,0.46764502,84.23195876288659,0.0,0.022641435,0.022641435,0.0,7549.658359050751,-71.44370456545697,345014.1030927835,1.0,95.24580838454243,4.7541916154575325
59992,3357,81.87318507562406,19.662835249042146,0.009768661,-79.64750957854406,0.38806963,84.18773946360153,0.0,0.022102365,0.022102365,0.0,8182.6498963832855,-67.59499172590985,344832.9808429119,1.0,94.60312920607282,5.396870793927214
69971,3506,81.40366042746945,20.174496644295303,0.009337308,-77.80536912751678,0.31692025,83.71812080536913,0.0,0.016586676,0.016586676,0.0,8559.768822193146,-59.92231840063927,342909.42281879194,1.0,92.94234846106482,7.0576515389351755
79952,3589,81.41797879093356,20.156626506024097,0.008568025,-75.43373493975903,0.25174078,83.71084337349397,0.0,0.012200542,0.012200542,0.060240963855421686,8775.225577354431,-51.616047571178434,342879.6144578313,0.9397590361445783,90.07204655221466,9.927953447785372
89834,3639,79.79542231357932,21.92,0.005901091,-72.2,0.20550613,82.06,0.0,0.006039954,0.006039954,0.32,8916.156078577042,-43.03112618990644,336117.76,0.68,87.94900182809555,12.050998171904412
99865,3676,81.22073813182563,20.37837837837838,0.0052622077,-73.29729729729729,0.27560082,83.54054054054055,0.0,0.004265994,0.004265994,0.8108108108108109,9022.403723955154,-40.1923442331125,342182.0540540541,0.1891891891891892,87.67614132588346,12.323858674116542
109864,3725,80.8363033063921,20.79591836734694,0.007195346,-72.18367346938776,0.19649266,83.14285714285714,0.0,0.008867038,0.008867038,0.4489795918367347,9155.840796232224,-43.84754848389818,340553.14285714284,0.5510204081632653,86.75872472160653,13.241275278393474
119963,3762,81.01067969222011,20.594594594594593,0.0063485,-73.64864864864865,0.2723329,83.27027027027027,0.0,0.0035919952,0.0035919952,0.8648648648648649,9262.110562324524,-41.16168620752558,341075.02702702704,0.13513513513513514,88.44555904879216,11.55444095120785
