TtR,MpbtA,Tmt,TimestepsSoFar,MpbtN,Ptt,entropy,EpisodesSoFar,AttC,optimgain,Tmc,surrgain,entloss,AttNC,TimeElapsed,Tbt,MtR,meankl
-228.0532544378698,5.199898536430278,80.2085798816568,9996,94.80010146356958,78.05979045054215,0.68424594,676,3.0,0.008535209,23.78846153846154,0.008535209,0.0,0.0,1578.6179497241974,328534.34319526626,-70.99348230638583,0.009012683
-227.09395973154363,6.1411619417399335,80.6761744966443,19982,93.85883805825995,78.49669621933761,0.6562484,1272,3.0,0.0064749625,23.318791946308725,0.0064749625,0.0,0.0,2962.3708629608154,330449.610738255,-70.02284535095943,0.009962764
-224.82388663967612,7.197917208018797,80.77732793522267,29991,92.80208279198128,78.59178478629588,0.6116245,1766,3.0,0.008305671,23.2165991902834,0.008305671,0.0,0.0,4129.5398597717285,330863.93522267207,-68.17643570926975,0.010229992
-223.8046875,8.246462154700481,81.3359375,39995,91.75353784529955,79.11976226354186,0.5596925,2150,3.0,0.0076577063,22.6484375,0.0076577063,0.0,0.0,5025.972935199738,333152.0,-66.1204308132922,0.008867768
-219.7888888888889,10.106741893432778,81.52592592592593,49995,89.89325810656725,79.29279720431775,0.5087673,2420,3.0,0.008781472,22.462962962962962,0.008781472,0.0,0.0,5650.562333345413,333930.1925925926,-61.99389832770581,0.00846805
-210.16666666666666,14.501368915048026,81.9375,59804,85.49863108495195,79.68534932076025,0.45653248,2564,3.0,0.008869247,22.041666666666668,0.008869247,0.0,0.0,5983.734384059906,335616.0,-53.03523957346186,0.009096113
-182.1,24.822601890360843,80.68571428571428,69982,75.17739810963917,78.50600063678031,0.40214643,2634,2.8714285714285714,0.0053884853,23.314285714285713,0.0053884853,0.0,0.12857142857142856,6148.646384000778,330488.6857142857,-38.73573426948059,0.007034677
-162.07142857142858,32.4460061558987,79.9047619047619,79848,67.55399384410129,77.77970471075915,0.385111,2676,1.7857142857142858,0.0014036102,24.095238095238095,0.0014036102,0.0,1.2142857142857142,6262.452226400375,327289.90476190473,-31.94414838351579,0.0027012336
-164.4,30.9206207901656,79.31111111111112,89868,69.07937920983436,77.2248371885453,0.39561027,2721,1.9777777777777779,0.0032499675,24.68888888888889,0.0032499675,0.0,1.0222222222222221,6385.710428476334,324858.31111111114,-31.59527733497408,0.005764289
-163.42857142857142,31.60502777132921,79.66666666666667,100000,68.39497222867082,77.55889108185711,0.39762157,2763,1.0952380952380953,0.0030997768,24.333333333333332,0.0030997768,0.0,1.9047619047619047,6501.509630203247,326314.6666666667,-31.744489151332974,0.006172886
-158.61702127659575,33.079658483337056,78.8936170212766,109894,66.92034151666296,76.8364654473287,0.35648158,2810,2.3617021276595747,0.0022739207,25.106382978723403,0.0022739207,0.0,0.6382978723404256,6625.513875722885,323148.25531914894,-31.158670425159066,0.005593991
-154.46511627906978,34.500792955064824,78.44186046511628,119878,65.49920704493518,76.40074117290256,0.30758014,2853,1.2093023255813953,0.0019907958,25.58139534883721,0.0019907958,0.0,1.7906976744186047,6744.775359153748,321297.8604651163,-30.537592438343662,0.0031908064
-153.5121951219512,35.64070733592142,79.41463414634147,129795,64.3592926640786,77.32182432528514,0.3547124,2894,0.5609756097560976,0.0048578195,24.585365853658537,0.0048578195,0.0,2.4390243902439024,6863.316994190216,325282.34146341466,-30.69547032288321,0.0095448615
-160.10204081632654,32.50628292503064,79.04081632653062,139969,67.49371707496935,76.97303145224751,0.3623215,2943,2.306122448979592,0.0034681503,24.959183673469386,0.0034681503,0.0,0.6938775510204082,6991.393360376358,323751.1836734694,-31.142704510627514,0.0048622214
-153.88636363636363,34.12109740539888,77.81818181818181,149868,65.87890259460113,75.83199972057304,0.3812222,2987,1.2727272727272727,0.002441778,26.181818181818183,0.002441778,0.0,1.7272727272727273,7108.310043334961,318743.2727272727,-30.810015311240132,0.005810449
-158.61702127659575,32.166072591749106,77.91489361702128,159935,67.83392740825091,75.92351673315969,0.37786537,3034,2.3191489361702127,0.0031287964,26.085106382978722,0.0031287964,0.0,0.6808510638297872,7235.389801025391,319139.40425531915,-31.01249945406392,0.0063951905
-151.65,35.45156873491376,78.225,169839,64.54843126508624,76.19485766265339,0.38339135,3074,1.175,0.00368768,25.8,0.00368768,0.0,1.825,7350.375597715378,320409.6,-29.28514343397641,0.00776813
-148.14893617021278,36.89722236432563,78.25531914893617,179940,63.102777635674364,76.24210654586494,0.37681562,3121,2.0638297872340425,0.0022815461,25.74468085106383,0.0022815461,0.0,0.9361702127659575,7470.020185947418,320533.78723404254,-29.642835002841856,0.0043767933
-148.04651162790697,36.47335097501863,77.67441860465117,189867,63.52664902498138,75.70206282965013,0.41196936,3164,1.6511627906976745,0.0027795527,26.325581395348838,0.0027795527,0.0,1.3488372093023255,7583.199543714523,318154.4186046512,-28.979845303269162,0.006313171
-155.14285714285714,34.19776758280693,78.59183673469387,199780,65.80223241719307,76.55726811231159,0.40381086,3213,2.4285714285714284,0.0019367798,25.408163265306122,0.0019367798,0.0,0.5714285714285714,7707.580559492111,321912.1632653061,-31.037997888724117,0.0034320313
-158.87234042553192,33.17163698261697,79.12765957446808,209726,66.82836301738303,77.05701169207475,0.38230067,3260,2.106382978723404,0.0024206645,24.872340425531913,0.0024206645,0.0,0.8936170212765957,7830.784221172333,324106.89361702127,-31.456865163299973,0.006650114
-144.75,38.14638743009453,78.02272727272727,219963,61.85361256990547,76.00984511451402,0.36726585,3304,0.9318181818181818,0.0030355775,26.0,0.0030355775,0.0,2.0681818181818183,7947.386213302612,319581.0909090909,-29.05373231824075,0.0055274474
-147.86666666666667,37.13809643331076,78.31111111111112,229906,62.86190356668924,76.29369486755603,0.35470164,3349,1.8222222222222222,0.002408435,25.68888888888889,0.002408435,0.0,1.1777777777777778,8066.2020745277405,320762.31111111114,-29.741646000152883,0.0057098917
-148.13333333333333,37.4480498206416,78.91111111111111,239905,62.55195017935842,76.85748548607607,0.32294554,3394,1.1555555555555554,0.0021300237,25.08888888888889,0.0021300237,0.0,1.8444444444444446,8184.0459361076355,323219.9111111111,-30.029890379169526,0.0036925294
