entropy,Tbt,MtR,entloss,meankl,TtR,MpbtN,TimestepsSoFar,Tmc,Ptt,MpbtA,AttNC,EpisodesSoFar,TimeElapsed,Tmt,optimgain,AttC,surrgain
0.68392384,345601.20470588235,-76.17901177381448,0.0,0.009335965,-80.33882352941177,95.22327219492587,10000,19.470588235294116,82.05062450627004,4.776727805073835,0.0,850,2086.1046872138977,84.37529411764706,0.02494559,1.0,0.02494559
0.65722746,346053.4857142857,-75.56191650471936,0.0,0.009209483,-80.38231292517007,95.15105335911859,19995,19.355102040816327,82.15711746884682,4.848946640881046,0.0,1585,3903.8535130023956,84.48571428571428,0.014035352,1.0,0.014035352
0.61119187,344743.3365853659,-74.58349462089296,0.0,0.0100151645,-80.33658536585367,95.45723522084002,29990,19.708943089430893,81.8333183080118,4.542764779159783,0.0,2200,5413.870768785477,84.16585365853659,0.019052291,1.0,0.019052291
0.5494213,344881.5483870968,-73.37311244935155,0.0,0.009952703,-80.41532258064517,95.51143040443462,39951,19.641129032258064,81.89130761851688,4.488569595565248,0.0,2696,6658.643228292465,84.19959677419355,0.022465345,1.0,0.022465345
0.4749453,345669.04834605596,-71.68035705874698,0.0,0.009793047,-80.29262086513995,95.14864475521836,49979,19.46819338422392,82.05539650172965,4.851355244781594,0.0,3089,7628.86235332489,84.39185750636132,0.023086367,1.0,0.023086367
0.39252445,343804.96442687744,-66.97677072822034,0.0,0.009628514,-79.29249011857708,94.47390529385001,59972,19.92885375494071,81.62711527464188,5.526094706150043,0.0,3342,8269.19182753563,83.93675889328063,0.02362875,1.0,0.02362875
0.3303781,342634.0355029586,-61.7520144586069,0.0,0.008946106,-78.13609467455622,93.41040058411838,69966,20.23076923076923,81.35008643401473,6.589599415881661,0.0,3511,8695.73395371437,83.6508875739645,0.020289738,1.0,0.020289738
0.28227863,345702.4,-54.049694275590205,0.0,0.006350501,-77.34285714285714,91.63758410498772,79931,19.447619047619046,82.07417293435864,8.362415895012308,0.0,3616,8959.74328327179,84.4,0.013926891,1.0,0.013926891
0.2414814,342121.0256410256,-49.61663714887735,0.0,0.006423385,-75.74358974358974,90.67612382329938,89857,20.423076923076923,81.18335199117901,9.323876176700598,0.02564102564102564,3694,9162.997840166092,83.52564102564102,0.0112498645,0.9743589743589743,0.0112498645
0.21537544,342369.1034482759,-44.543696599066216,0.0,0.005499566,-73.75862068965517,88.21584362859312,99910,20.310344827586206,81.2813306428817,11.784156371406906,0.10344827586206896,3752,9319.872617721558,83.58620689655173,0.009728967,0.896551724137931,0.009728967
0.19529514,340385.9591836735,-42.23754485093381,0.0,0.0034877285,-72.93877551020408,87.73157173866962,109870,20.836734693877553,80.79823079213152,12.268428261330383,0.14285714285714285,3801,9456.704229831696,83.10204081632654,0.0077119293,0.8571428571428571,0.0077119293
0.18322071,336998.4,-40.77726730660231,0.0,0.003537156,-72.8,88.487417628952,119880,21.725,79.98100893112995,11.512582371048026,0.4,3841,9574.487255334854,82.275,0.007205295,0.6,0.007205295
0.19149758,342662.7368421053,-41.23237191017822,0.0,0.0026461135,-75.42105263157895,90.1405638588992,129968,20.263157894736842,81.3279255686381,9.859436141100797,0.5526315789473685,3879,9683.78125166893,83.65789473684211,0.0065147094,0.4473684210526316,0.0065147094
0.16048428,340614.7368421053,-41.70996040808821,0.0,0.00279041,-74.05263157894737,89.05551720050846,139949,20.68421052631579,80.92539075549222,10.944482799491507,0.5789473684210527,3917,9796.041531324387,83.15789473684211,0.0042864755,0.42105263157894735,0.0042864755
0.13943285,344506.8108108108,-41.93065808752715,0.0,0.0028374875,-75.89189189189189,90.22388020459907,149949,19.83783783783784,81.72577114536311,9.776119795400957,0.6756756756756757,3954,9906.55798959732,84.10810810810811,0.005415738,0.32432432432432434,0.005415738
0.15990286,342893.71428571426,-42.47744656553484,0.0,0.0058289827,-76.88571428571429,91.79540143456559,159925,20.17142857142857,81.40611241694087,8.204598565434447,0.9142857142857143,3989,10012.527468204498,83.71428571428571,0.0098514985,0.08571428571428572,0.0098514985
0.1459513,337978.5142857143,-40.25104743120741,0.0,0.0032098324,-75.0,90.88871409564192,169901,21.428571428571427,80.24597213470396,9.111285904358084,0.6285714285714286,4024,10117.58106136322,82.51428571428572,0.00597438,0.37142857142857144,0.00597438
0.12279199,340536.8888888889,-41.325160349366435,0.0,0.0022175296,-76.11111111111111,91.52092143346712,179868,20.694444444444443,80.91259175464035,8.479078566532873,0.5277777777777778,4060,10226.748317956924,83.13888888888889,0.0039171083,0.4722222222222222,0.0039171083
0.12642099,343067.6756756757,-41.52424565955611,0.0,0.0017950882,-77.10810810810811,92.01493396729421,189794,20.08108108108108,81.48279005537769,7.985066032705785,0.5135135135135135,4097,10337.51426911354,83.75675675675676,0.0048511187,0.4864864864864865,0.0048511187
0.12945434,343848.4210526316,-42.78810893381469,0.0,0.00202775,-77.34210526315789,92.11031227760344,199960,19.894736842105264,81.6559581401984,7.889687722396568,0.6578947368421053,4135,10446.19380402565,83.94736842105263,0.0054866043,0.34210526315789475,0.0054866043
0.12500137,343399.7837837838,-42.81463670722446,0.0,0.0024731634,-77.8108108108108,92.74977847937092,209941,19.91891891891892,81.62103647632196,7.250221520629073,0.6216216216216216,4172,10557.027999639511,83.83783783783784,0.007592108,0.3783783783783784,0.007592108
0.14503543,342846.2702702703,-42.45781341064224,0.0,0.0023936802,-76.78378378378379,91.71696471652608,219889,20.243243243243242,81.3501554461365,8.283035283473891,0.5135135135135135,4209,10667.189375162125,83.70270270270271,0.0076842043,0.4864864864864865,0.0076842043
0.14864215,341075.02702702704,-42.275450362892585,0.0,0.0031510256,-76.27027027027027,91.57443066240565,229928,20.7027027027027,80.9254916528226,8.425569337594343,0.5405405405405406,4246,10774.904829978943,83.27027027027027,0.006980533,0.4594594594594595,0.006980533
0.16034214,340309.3333333333,-41.23683311772528,0.0,0.0030959335,-75.69444444444444,91.08953727307347,239966,20.88888888888889,80.75169106976716,8.910462726926543,0.6388888888888888,4282,10884.357547044754,83.08333333333333,0.007428718,0.3611111111111111,0.007428718
0.15011364,344171.7894736842,-41.96512686394727,0.0,0.0030801555,-75.55263157894737,89.93370972263969,249841,19.81578947368421,81.73111180214885,10.066290277360299,0.5,4320,11002.236253261566,84.02631578947368,0.0066866456,0.5,0.0066866456
0.14875735,344174.7027027027,-43.10809825247618,0.0,0.0020823216,-77.64864864864865,92.41838685908485,259813,19.783783783783782,81.7562582363968,7.581613140915162,0.7567567567567568,4357,11109.54545712471,84.02702702702703,0.0056044515,0.24324324324324326,0.0056044515
0.1237596,336440.8888888889,-40.93484095910823,0.0,0.003402012,-75.47222222222223,91.86148832894202,269754,21.833333333333332,79.87273022103986,8.138511671057968,0.6944444444444444,4393,11220.442982912064,82.13888888888889,0.0065271514,0.3055555555555556,0.0065271514
0.17779748,342738.82352941175,-40.83291259054157,0.0,0.0043245615,-76.58823529411765,91.54788881978774,279812,20.264705882352942,81.3261534735486,8.452111180212263,0.9117647058823529,4427,11328.262098312378,83.67647058823529,0.009016584,0.08823529411764706,0.009016584
0.16904481,340300.1081081081,-40.916024547389306,0.0,0.0023355333,-75.4054054054054,90.74508618445903,289979,20.89189189189189,80.75051309198831,9.254913815540961,0.5945945945945946,4464,11439.872023105621,83.08108108108108,0.006739847,0.40540540540540543,0.006739847
0.20178093,340764.44444444444,-41.57396778919115,0.0,0.0045929514,-75.5,90.7178752629923,299927,20.77777777777778,80.85779726920443,9.282124737007706,0.8333333333333334,4500,11545.124656677246,83.19444444444444,0.01292766,0.16666666666666666,0.01292766
0.22788735,342776.6857142857,-40.562205546599785,0.0,0.004703163,-74.2,88.6647491659579,309708,20.285714285714285,81.31267105183572,11.335250834042116,0.7714285714285715,4535,11657.569472789764,83.68571428571428,0.009084091,0.22857142857142856,0.009084091
0.16529264,339558.4,-41.13237720776475,0.0,0.0040656715,-72.975,88.02821361404884,319735,21.075,80.58175311227052,11.971786385951146,0.55,4575,11773.300164699554,82.9,0.006941214,0.45,0.006941214
0.20653835,339536.84210526315,-41.24802127732248,0.0,0.00306676,-73.55263157894737,88.70548931612022,329920,21.05263157894737,80.59869113507652,11.29451068387977,0.631578947368421,4613,11882.497708797455,82.89473684210526,0.007238668,0.3684210526315789,0.007238668
0.14821951,338182.5641025641,-40.5265650387089,0.0,0.004862455,-74.07692307692308,89.68758084142341,339784,21.384615384615383,80.2890369446145,10.312419158576578,0.358974358974359,4652,12000.844377756119,82.56410256410257,0.00900508,0.6410256410256411,0.00900508
0.19804022,340536.8888888889,-41.96876439109862,0.0,0.0032270767,-75.11111111111111,90.33838591619727,349766,20.75,80.87043980436455,9.661614083802716,0.8888888888888888,4688,12112.417637348175,83.13888888888889,0.007852724,0.1111111111111111,0.007852724
0.16773517,339626.6666666667,-40.54029567264318,0.0,0.0022934237,-74.80555555555556,90.22960475409262,359912,21.02777777777778,80.6200458321244,9.770395245907372,0.8333333333333334,4724,12218.99330997467,82.91666666666667,0.005175359,0.16666666666666666,0.005175359
0.21595767,345060.3243243243,-42.162498797402336,0.0,0.003430244,-76.27027027027027,90.52399969501211,369970,19.594594594594593,81.93540587587145,9.476000304987888,0.8378378378378378,4761,12331.481719017029,84.24324324324324,0.010098756,0.16216216216216217,0.010098756
0.21699531,341960.64864864864,-42.39524134167326,0.0,0.003082275,-75.32432432432432,90.19777679843493,379836,20.405405405405407,81.19311813221009,9.802223201565045,0.918918918918919,4798,12444.8132417202,83.48648648648648,0.007417698,0.08108108108108109,0.007417698
0.22853681,341185.7297297297,-40.53964294799143,0.0,0.0036595685,-74.02702702702703,88.88234268773982,389799,20.594594594594593,81.01592621810869,11.117657312260153,0.7567567567567568,4835,12553.005289554596,83.29729729729729,0.008553355,0.24324324324324326,0.008553355
0.20010875,340283.07692307694,-40.42468566155949,0.0,0.0024976977,-72.43589743589743,87.16685867513418,399851,20.923076923076923,80.7266430694864,12.833141324865815,0.7435897435897436,4874,12670.746815681458,83.07692307692308,0.006340158,0.2564102564102564,0.006340158
0.23213169,339968.0,-40.63986509107043,0.0,0.00339389,-73.8108108108108,88.93837524135633,409988,21.0,80.65647195247148,11.06162475864366,0.8108108108108109,4911,12781.438967466354,83.0,0.008683587,0.1891891891891892,0.008683587
0.22636418,339414.4864864865,-39.52867765018803,0.0,0.0029093027,-72.10810810810811,87.0188151184025,419797,21.10810810810811,80.5478416933647,12.981184881597521,0.5945945945945946,4948,12893.331766605377,82.86486486486487,0.0075569274,0.40540540540540543,0.0075569274
0.21817705,338971.6756756757,-39.72617574351176,0.0,0.0023612522,-71.8108108108108,86.73914682293538,429867,21.16216216216216,80.4913460460398,13.260853177064623,0.7567567567567568,4985,13004.767684936523,82.75675675675676,0.0057758726,0.24324324324324326,0.0057758726
0.22172657,342593.641025641,-42.2810361938841,0.0,0.005352992,-73.64102564102564,88.00833196287668,439925,20.23076923076923,81.35125568569153,11.991668037123327,0.7692307692307693,5024,13120.8597946167,83.64102564102564,0.0068946276,0.23076923076923078,0.0068946276
0.232382,339968.0,-40.60709197486157,0.0,0.0025871634,-72.23076923076923,86.97908780863796,449903,20.94871794871795,80.6962046942596,13.020912191362031,0.5128205128205128,5063,13232.464583158493,83.0,0.007585846,0.48717948717948717,0.007585846
0.20896648,338169.756097561,-40.53220162733426,0.0,0.0029881913,-71.92682926829268,87.11161201484248,459867,21.341463414634145,80.32325954574537,12.888387985157529,0.5121951219512195,5104,13352.178815603256,82.5609756097561,0.008499359,0.4878048780487805,0.008499359
0.22445425,338196.75675675675,-39.86304898811277,0.0,0.002712402,-72.32432432432432,87.54462148939406,469983,21.324324324324323,80.33683003700503,12.455378510605938,0.8108108108108109,5141,13460.969783306122,82.56756756756756,0.0058200625,0.1891891891891892,0.0058200625
0.25446844,337532.54054054053,-39.874306971125854,0.0,0.0035471194,-71.78378378378379,87.05024439746155,479970,21.56756756756757,80.12358543673103,12.949755602538438,0.7837837837837838,5178,13569.964411973953,82.4054054054054,0.007993261,0.21621621621621623,0.007993261
