optimgain,AttNC,EpisodesSoFar,AttC,Fce,surrgain,TimestepsSoFar,entropy,TimeElapsed,MtR,meankl,entloss,TtR
0.0007127991,0.24183006535947713,153,0.7581699346405228,0.08564451672197392,0.0007127991,9978,1.4190204,47.01452112197876,5.666056772859233,0.0037339737,0.0,9.4640522875817
0.0018656281,0.37623762376237624,254,0.6237623762376238,0.10168290508195801,0.0018656281,19827,1.3975828,139.77441549301147,7.939265119445139,0.008301717,0.0,13.782178217821782
0.0013271744,0.47058823529411764,339,0.5294117647058824,0.11292484633865704,0.0013271744,29996,1.3664122,211.5256679058075,9.592418712345147,0.0055497694,0.0,16.223529411764705
0.0010376481,0.48148148148148145,420,0.5185185185185185,0.07699235743680188,0.0010376481,39850,1.3474547,286.2604031562805,9.498520836588357,0.0030375975,0.0,16.358024691358025
0.000637014,0.5882352941176471,488,0.4117647058823529,0.08617767413870919,0.000637014,49938,1.3187879,366.0604817867279,11.556292482490718,0.0011827619,0.0,19.985294117647058
0.0013329162,0.5492957746478874,559,0.4507042253521127,0.08674544394511255,0.0013329162,59834,1.2964286,414.5324947834015,10.806852057270875,0.004564729,0.0,18.830985915492956
0.0009790619,0.6896551724137931,617,0.3103448275862069,0.12793760262725773,0.0009790619,69894,1.2696524,495.2637629508972,13.488699060737678,0.001623221,0.0,23.655172413793103
0.0008769455,0.5797101449275363,686,0.42028985507246375,0.09240807047456663,0.0008769455,79967,1.2393025,574.7535996437073,11.6211656341641,0.0022147205,0.0,20.28985507246377
0.0012071289,0.6842105263157895,743,0.3157894736842105,0.09380451127819549,0.0012071289,89761,1.2082965,651.1219775676727,12.535024279564645,0.0029141833,0.0,21.982456140350877
0.0010386872,0.6349206349206349,806,0.36507936507936506,0.10516053258910402,0.0010386872,99826,1.1698407,728.365788936615,11.640678720651294,0.002540664,0.0,20.19047619047619
0.0015065114,0.7407407407407407,860,0.25925925925925924,0.10153535353535358,0.0015065114,109850,1.1972035,790.3669729232788,14.124161892475074,0.0026442083,0.0,24.98148148148148
0.0016828461,0.625,924,0.375,0.10345741758241761,0.0016828461,119964,1.146323,861.6793630123138,11.538453252687237,0.0049029104,0.0,20.125
0.0007243622,0.7692307692307693,976,0.23076923076923078,0.12157342657342658,0.0007243622,129990,1.1359918,951.4996953010559,14.512428499993636,0.00090162514,0.0,24.76923076923077
0.0012070953,0.78,1026,0.22,0.10242666666666667,0.0012070953,139761,1.1206069,1018.0643045902252,13.862205854795361,0.003369096,0.0,23.96
0.0011873726,0.6666666666666666,1086,0.3333333333333333,0.11840740740740736,0.0011873726,149813,1.0798906,1086.5726335048676,12.981370502283953,0.0031095096,0.0,22.816666666666666
0.0024032197,0.6896551724137931,1144,0.3103448275862069,0.10074531155474895,0.0024032197,159881,1.014612,1153.874882698059,12.963839681439767,0.0067021972,0.0,23.137931034482758
0.002365189,0.8163265306122449,1193,0.1836734693877551,0.12767346938775515,0.002365189,169890,1.0479794,1233.4870443344116,15.179687203189184,0.0073009934,0.0,26.836734693877553
0.00164151,0.8,1243,0.2,0.13015471910758436,0.00164151,179978,1.0088689,1327.1925520896912,15.783061583564141,0.0035675743,0.0,27.28
0.0011562674,0.7272727272727273,1298,0.2727272727272727,0.10681212121212122,0.0011562674,189997,0.948054,1390.001924276352,13.508699384446915,0.005100386,0.0,23.70909090909091
0.0016632943,0.7090909090909091,1353,0.2909090909090909,0.10085194805194805,0.0016632943,199781,0.9490754,1460.3899266719818,13.541799361667765,0.0030259367,0.0,23.69090909090909
0.0015651245,0.7272727272727273,1408,0.2727272727272727,0.11753875598086123,0.0015651245,209816,0.9389251,1535.6592254638672,14.175932823022372,0.0027339559,0.0,24.636363636363637
0.0023912324,0.8333333333333334,1456,0.16666666666666666,0.11289285714285718,0.0023912324,219830,0.93325263,1610.4394478797913,15.38338082682575,0.0024309426,0.0,27.5
0.0014987091,0.6779661016949152,1515,0.3220338983050847,0.12055768385555259,0.0014987091,229965,0.8917833,1695.1697187423706,13.561069277879438,0.0037335404,0.0,23.610169491525422
0.0021824753,0.639344262295082,1576,0.36065573770491804,0.10404201263217656,0.0021824753,239799,0.8673778,1764.2593042850494,13.152485537739281,0.0034282994,0.0,23.016393442622952
0.0016118339,0.6964285714285714,1632,0.30357142857142855,0.09790323610815413,0.0016118339,249776,0.83942384,1833.4240176677704,13.51732174432969,0.0032659415,0.0,23.625
