entloss,AttNC,meankl,optimgain,EpisodesSoFar,TimestepsSoFar,AttC,entropy,TimeElapsed,MtR,TtR,Fce,surrgain
0.0,3.1219512195121952,0.0005715454,1.1453857e-05,41,9808,6.878048780487805,1.4129503,99.4019091129303,24.43186511636577,420.9756097560976,0.17359053954175907,1.1453857e-05
0.0,3.6,0.0042787567,0.0004975452,86,19778,6.4,1.4285918,192.36774969100952,28.854078271372,492.22222222222223,0.2072573549698872,0.0004975452
0.0,2.673076923076923,0.00045386,0.00047129882,138,29830,7.326923076923077,1.4323757,287.6424341201782,24.777419829615766,422.88461538461536,0.20093474250744567,0.00047129882
0.0,2.5106382978723403,0.006293418,0.00024236023,185,40000,7.48936170212766,1.4550755,385.9866507053375,24.908617311815334,426.3829787234043,0.18621592857349573,0.00024236023
0.0,2.8780487804878048,0.004448339,0.00077967835,226,49824,7.121951219512195,1.4594204,485.8591070175171,22.270866954797018,385.609756097561,0.15999883558937888,0.00077967835
0.0,4.25,0.0047015245,0.0009571269,266,59824,5.75,1.4578419,582.365814447403,22.095938902662105,388.75,0.15550000000000003,0.0009571269
0.0,4.463414634146342,0.0017591211,0.001393346,307,69829,5.536585365853658,1.4492083,689.7825918197632,19.23893487694921,326.5853658536585,0.13063414634146342,0.001393346
0.0,4.475,0.0016545261,0.0011857759,347,79829,5.525,1.4380412,783.3347675800323,16.752940296684734,291.25,0.11650000000000005,0.0011857759
0.0,5.35,0.00064279244,0.000225401,387,89829,4.65,1.4515494,884.3633894920349,13.707625755507816,238.25,0.09530000000000007,0.000225401
0.0,6.075,0.008539842,6.0968323e-05,427,99829,3.925,1.4277451,984.603609085083,13.900488687045799,241.25,0.09650000000000006,6.0968323e-05
0.0,4.9,0.004743555,0.00028090455,467,109829,5.1,1.4727275,1091.5987930297852,13.975775063128868,245.25,0.09810000000000006,0.00028090455
0.0,5.3,0.0138528785,0.0002517441,507,119829,4.7,1.4838858,1187.1571757793427,15.971823146643104,279.5,0.11180000000000005,0.0002517441
0.0,5.55,0.007039741,0.00029680083,547,129829,4.45,1.5661135,1288.5591921806335,13.471268957085965,238.0,0.09520000000000006,0.00029680083
0.0,4.925,0.008128343,1.983139e-05,587,139829,5.075,1.5857675,1378.6532995700836,14.695904047365616,260.25,0.10410000000000004,1.983139e-05
0.0,5.55,0.0093882615,0.00042984664,627,149829,4.45,1.6317506,1486.0974838733673,14.184369401832148,246.5,0.09860000000000005,0.00042984664
0.0,4.9,0.003668734,0.00016951752,667,159829,5.1,1.6725597,1574.397010564804,15.08719572948804,269.75,0.10790000000000004,0.00016951752
0.0,5.15,0.0063386397,0.0005037503,707,169829,4.85,1.7105619,1672.9524936676025,15.564287337990098,274.75,0.10990000000000004,0.0005037503
0.0,4.55,0.0076289284,0.00032597396,747,179829,5.45,1.7342879,1766.5426285266876,18.41890798393588,320.5,0.12820000000000004,0.00032597396
0.0,4.125,0.008479522,0.0010517366,787,189829,5.875,1.7285064,1861.48241853714,23.419210350875584,408.75,0.16350000000000003,0.0010517366
0.0,3.119047619047619,0.001426922,0.00045152786,829,199873,6.880952380952381,1.6958847,1955.9264297485352,25.3662449379639,435.4761904761905,0.18025094482237342,0.00045152786
0.0,2.7555555555555555,0.0033648487,0.00031362992,874,209936,7.2444444444444445,1.642466,2059.2273321151733,22.587739175662254,390.22222222222223,0.1660847481021394,0.00031362992
0.0,3.317073170731707,0.006385564,0.0002977304,915,219790,6.682926829268292,1.5750762,2149.5387165546417,27.4399290580736,468.2926829268293,0.19284479766145976,0.0002977304
0.0,2.56,0.002595258,0.00030056655,965,229758,7.44,1.5593159,2250.696233510971,23.46645450701786,400.8,0.18115565708366518,0.00030056655
