EpisodesSoFar,Fce,entropy,AttC,MtR,meankl,TimestepsSoFar,entloss,surrgain,TtR,TimeElapsed,AttNC,optimgain
40,0.17765531914893612,1.4119987,7.45,24.944356798575313,0.007710631,9797,0.0,0.0002798622,435.5,93.00176501274109,2.55,0.0002798622
91,0.19799393257089482,1.416451,7.823529411764706,24.782215500125186,0.0011272497,19877,0.0,0.00037258575,413.1372549019608,192.12680053710938,2.176470588235294,0.00037258575
142,0.16754559043603862,1.4146197,7.686274509803922,22.156005418173685,0.00071817567,29988,0.0,0.00025349626,382.15686274509807,284.860755443573,2.3137254901960786,0.00025349626
185,0.18325951836568619,1.413009,6.813953488372093,25.111626768735356,0.008578911,39850,0.0,0.00034325256,430.2325581395349,378.6567487716675,3.186046511627907,0.00034325256
234,0.21289262827526323,1.4051503,7.224489795918367,27.453395663101567,0.0032579408,49877,0.0,0.0022438422,468.3673469387755,476.23412346839905,2.7755102040816326,0.0022438422
283,0.24320545995070092,1.3924556,6.510204081632653,32.393953777215806,0.0023953938,59994,0.0,0.002205376,545.3061224489796,575.8506870269775,3.489795918367347,0.002205376
332,0.2370507988158652,1.3703616,6.755102040816326,30.316672344554462,0.0021597568,69842,0.0,0.0013341272,517.3469387755102,666.9527544975281,3.2448979591836733,0.0013341272
378,0.21031009808445322,1.3483769,6.478260869565218,29.68901506425026,0.0029287876,79772,0.0,0.0004991846,507.17391304347825,762.7380323410034,3.5217391304347827,0.0004991846
424,0.19380807504790679,1.3807256,6.239130434782608,27.089231419976194,0.0021309126,89890,0.0,0.0013408826,460.6521739130435,850.8732335567474,3.760869565217391,0.0013408826
470,0.17789876622012724,1.3961856,6.804347826086956,23.292595557373893,0.0061745727,99791,0.0,0.0028661883,402.17391304347825,947.12220454216,3.1956521739130435,0.0028661883
513,0.16503525881470368,1.4000928,6.604651162790698,23.775662657979822,0.01046511,109850,0.0,0.0038661675,405.1162790697674,1041.3663675785065,3.395348837209302,0.0038661675
553,0.15530000000000002,1.3981252,5.95,22.329928603311526,0.009701797,119850,0.0,0.0032542187,388.25,1126.1381673812866,4.05,0.0032542187
593,0.12180000000000002,1.3904562,5.575,17.60605215728659,0.0060354043,129850,0.0,0.0021459046,304.5,1218.058746099472,4.425,0.0021459046
633,0.10260000000000005,1.3768953,4.7,14.675806108879408,0.0016799856,139850,0.0,0.0014784519,256.5,1306.6160748004913,5.3,0.0014784519
673,0.08860000000000005,1.3675098,4.225,12.65765056869033,0.0026396064,149850,0.0,0.00047353623,221.5,1400.4936218261719,5.775,0.00047353623
713,0.09000000000000004,1.3264816,4.475,13.102010560669097,0.0025327934,159850,0.0,0.00038912598,225.0,1497.7747931480408,5.525,0.00038912598
753,0.08360000000000004,1.348865,4.35,12.055691914361601,0.0069054035,169850,0.0,9.397812e-05,209.0,1588.6546051502228,5.65,9.397812e-05
793,0.08190000000000006,1.3481566,4.425,11.6345404646006,0.0024489833,179850,0.0,8.002602e-05,204.75,1676.552964925766,5.575,8.002602e-05
833,0.08570000000000005,1.403755,4.775,12.277731492026469,0.0076652113,189850,0.0,0.00018415546,214.25,1770.1324231624603,5.225,0.00018415546
873,0.08770000000000004,1.4393834,4.35,12.544158993801846,0.010095567,199850,0.0,0.00040608735,219.25,1859.7710266113281,5.65,0.00040608735
913,0.09650000000000006,1.50194,4.775,13.521670271741414,0.0048281136,209850,0.0,0.00018628754,241.25,1945.1132416725159,5.225,0.00018628754
953,0.10000000000000006,1.5720087,4.875,14.355215546831818,0.007795674,219850,0.0,0.0004223561,250.0,2028.91463971138,5.125,0.0004223561
993,0.09820000000000005,1.6552615,4.875,14.097446610719611,0.006661848,229850,0.0,0.0002020787,245.5,2111.3048379421234,5.125,0.0002020787
1033,0.11150000000000004,1.6769247,5.25,15.741367016950438,0.0058251442,239850,0.0,0.00030850692,278.75,2189.582585334778,4.75,0.00030850692
1073,0.11520000000000004,1.692874,5.05,16.260686694658407,0.0032718745,249850,0.0,0.00020889664,288.0,2271.754920244217,4.95,0.00020889664
1114,0.11356097560975616,1.7422222,5.219512195121951,15.697217888164639,0.0049808165,259855,0.0,0.00016056503,271.9512195121951,2351.1514427661896,4.780487804878049,0.00016056503
1154,0.10470000000000006,1.7454748,4.7,14.740817694168282,0.0038865644,269855,0.0,9.718571e-05,261.75,2430.0698294639587,5.3,9.718571e-05
1194,0.11190000000000004,1.7781985,5.4,15.78052121277035,0.0055525843,279855,0.0,0.0003703087,279.75,2512.792179107666,4.6,0.0003703087
1234,0.11520000000000001,1.7956097,5.075,16.40264744521118,0.0038346564,289855,0.0,0.00018468568,288.0,2590.4155638217926,4.925,0.00018468568
1274,0.11120000000000008,1.835081,5.325,15.852795228877039,0.0021754415,299855,0.0,9.8814395e-05,278.0,2671.858913421631,4.675,9.8814395e-05
1314,0.11750000000000002,1.8652745,5.2,16.934594141753045,0.0045335433,309855,0.0,0.00027999008,293.75,2748.697228193283,4.8,0.00027999008
1354,0.1314,1.8837786,5.875,18.990348424674245,0.0011656585,319855,0.0,5.036148e-05,328.5,2828.349207639694,4.125,5.036148e-05
1394,0.12230000000000003,1.9798186,5.25,17.064498348592956,0.008661767,329855,0.0,8.723076e-05,305.75,2904.9566118717194,4.75,8.723076e-05
1434,0.126,2.0756474,5.575,18.37160679548433,0.008625018,339855,0.0,7.7099154e-05,315.0,2983.146780729294,4.425,7.7099154e-05
1474,0.12910000000000005,2.164671,5.7,18.67451637267057,0.0088202525,349855,0.0,6.3692016e-05,322.75,3060.464147090912,4.3,6.3692016e-05
1514,0.13630000000000003,2.165074,5.8,19.13448329459162,0.0012761399,359855,0.0,0.00015617927,340.75,3135.9657163619995,4.2,0.00015617927
1554,0.13430000000000003,2.2497292,5.4,19.228813497003692,0.006778032,369855,0.0,5.7458572e-05,335.75,3215.100401878357,4.6,5.7458572e-05
1594,0.1317,2.3472981,5.925,18.668809786156242,0.008933204,379855,0.0,1.27659605e-05,329.25,3290.1905698776245,4.075,1.27659605e-05
1635,0.1373658536585366,2.4449198,5.853658536585366,19.64542511865011,0.008933034,389860,0.0,4.5936586e-06,343.4146341463415,3369.0416054725647,4.146341463414634,4.5936586e-06
1676,0.14780487804878054,2.5424824,6.073170731707317,21.12151336315945,0.008933204,399865,0.0,4.9806822e-05,369.5121951219512,3444.59082365036,3.926829268292683,4.9806822e-05
1717,0.14256357031655423,2.640107,5.951219512195122,20.242273828755927,0.008933204,409912,0.0,1.1956329e-05,352.1951219512195,3521.8288807868958,4.048780487804878,1.1956329e-05
1757,0.1484,2.5424879,6.0,21.074000894532155,0.010172479,419912,0.0,3.4242248e-06,371.0,3597.924589395523,4.0,3.4242248e-06
1797,0.15389999999999998,2.4449382,5.725,21.999722404846395,0.010174304,429912,0.0,2.6005555e-06,384.75,3672.461186170578,4.275,2.6005555e-06
1837,0.1371,2.5424879,5.85,19.523224294303404,0.008933067,439912,0.0,1.4077148e-05,342.75,3748.348775625229,4.15,1.4077148e-05
1878,0.13941463414634145,2.4449384,5.512195121951219,20.009582621652797,0.010173827,449923,0.0,2.980957e-06,348.5365853658537,3825.9030752182007,4.487804878048781,2.980957e-06
1918,0.13790000000000002,2.5424883,6.0,19.68540172609362,0.008933102,459923,0.0,1.0874863e-05,344.75,3900.093273639679,4.0,1.0874863e-05
1959,0.15389547038327528,2.4449382,5.926829268292683,20.780366774148614,0.010174863,469930,0.0,1.9443512e-05,367.8048780487805,3978.1687150001526,4.073170731707317,1.9443512e-05
1999,0.13870000000000002,2.5424883,6.0,20.095863372395087,0.008933196,479930,0.0,4.1225435e-06,346.75,4050.5794134140015,4.0,4.1225435e-06
2039,0.14820000000000005,2.4449382,6.0,21.317105912896604,0.010174781,489930,0.0,1.5322266e-05,370.5,4127.927836894989,4.0,1.5322266e-05
2079,0.13910000000000006,2.5424883,6.35,19.69739680803091,0.008933102,499930,0.0,3.2087708e-05,347.75,4200.93421959877,3.65,3.2087708e-05
2120,0.14829268292682926,2.6401138,5.7317073170731705,21.185974374674966,0.008933204,509937,0.0,3.0275878e-05,370.7317073170732,4277.042558193207,4.2682926829268295,3.0275878e-05
2161,0.1481951219512195,2.7376819,6.2926829268292686,20.854524138084347,0.008933102,519962,0.0,1.5024414e-05,363.9024390243902,4352.223954439163,3.707317073170732,1.5024414e-05
2203,0.14307029478458053,2.8352282,6.666666666666667,19.91408795822997,0.00892817,529998,0.0,4.108429e-07,347.6190476190476,4429.401636362076,3.3333333333333335,4.108429e-07
2243,0.14927058823529413,2.9328547,6.05,21.25150354671019,0.008933059,539765,0.0,4.537964e-06,369.75,4502.866065979004,3.95,4.537964e-06
2283,0.15539999999999998,3.030432,6.125,22.338463025512223,0.008933196,549765,0.0,1.6184082e-05,388.5,4577.571532726288,3.875,1.6184082e-05
2323,0.15719999999999998,2.9328547,5.85,22.610897464328833,0.010174751,559765,0.0,8.399658e-06,393.0,4651.639086961746,4.15,8.399658e-06
2363,0.15279999999999996,3.030432,6.025,21.818323554082117,0.008933102,569765,0.0,2.5381469e-06,382.0,4724.8250641822815,3.975,2.5381469e-06
2404,0.1492908067542214,3.1280124,6.658536585365853,21.338469598086206,0.008933196,579778,0.0,3.3184815e-06,368.780487804878,4799.481339216232,3.341463414634146,3.3184815e-06
2444,0.159,3.030432,6.625,23.032398066497798,0.010174863,589778,0.0,2.9252624e-06,397.5,4874.8410267829895,3.375,2.9252624e-06
2485,0.15099489506522973,3.1280124,6.682926829268292,21.421381487694934,0.008933204,599821,0.0,3.8345337e-07,369.2682926829268,4951.785009860992,3.317073170731707,3.8345337e-07
2527,0.14800000000000005,3.225591,6.357142857142857,21.531627970894874,0.008933196,609833,0.0,3.6590577e-06,370.0,5025.914301395416,3.642857142857143,3.6590577e-06
2568,0.155161976235147,3.3232224,6.512195121951219,22.035634980285234,0.008933102,619872,0.0,4.6463015e-06,386.5853658536585,5104.752199649811,3.4878048780487805,4.6463015e-06
