EpisodesSoFar,AttNC,MtR,TimeElapsed,TimestepsSoFar,optimgain,Fce,entloss,surrgain,AttC,TtR,meankl,entropy
139,0.2589928057553957,6.5583827639026175,45.4415397644043,9849,0.0020503663,0.09749583339420871,0.0,0.0020503663,0.7410071942446043,10.920863309352518,0.006489577,1.4154627
240,0.38613861386138615,8.311702695771402,88.22840738296509,19833,0.0018259949,0.07836489563954269,0.0,0.0018259949,0.6138613861386139,14.376237623762377,0.004196031,1.4026524
316,0.5263157894736842,10.589783547756364,132.76406979560852,29933,0.0015734619,0.08181783405883128,0.0,0.0015734619,0.47368421052631576,18.36842105263158,0.0019858205,1.3790892
385,0.5652173913043478,11.186679117091353,174.96297979354858,39799,0.00158284,0.10404546746234725,0.0,0.00158284,0.43478260869565216,19.47826086956522,0.00288423,1.3602757
458,0.547945205479452,10.91742446696104,217.03150153160095,49992,0.0016366447,0.10870342277865919,0.0,0.0016366447,0.4520547945205479,19.19178082191781,0.0016438635,1.343075
525,0.582089552238806,11.711022412677883,261.8288686275482,59874,0.0016593682,0.0991433309642265,0.0,0.0016593682,0.417910447761194,20.55223880597015,0.0029237245,1.3090963
593,0.5882352941176471,11.073648512796318,305.36395263671875,69918,0.0017333435,0.11232679738562086,0.0,0.0017333435,0.4117647058823529,19.25,0.0048445486,1.2826499
660,0.5970149253731343,10.74973873240327,347.4958424568176,79987,0.0011081356,0.08749731197492393,0.0,0.0011081356,0.40298507462686567,18.611940298507463,0.0016974136,1.250066
717,0.6842105263157895,12.31206583698374,391.22300577163696,89765,0.0014327926,0.10610526315789476,0.0,0.0014327926,0.3157894736842105,21.29824561403509,0.0024145055,1.2493943
775,0.6896551724137931,12.401645317277707,437.6974561214447,99809,0.0014818115,0.09639498432601884,0.0,0.0014818115,0.3103448275862069,22.03448275862069,0.0006261522,1.2415769
834,0.6779661016949152,12.937277015881351,486.6758825778961,109860,0.0016123703,0.10305316529045341,0.0,0.0016123703,0.3220338983050847,22.71186440677966,0.0025752953,1.2147778
890,0.7142857142857143,13.831912162101888,530.1375169754028,119918,0.0021563028,0.10986716791979949,0.0,0.0021563028,0.2857142857142857,23.875,0.0029994445,1.204712
945,0.7090909090909091,13.121315310927114,573.9749546051025,129754,0.0020377336,0.1242121588556371,0.0,0.0020377336,0.2909090909090909,22.836363636363636,0.0013784382,1.199956
1010,0.6153846153846154,12.525976475316032,618.1023914813995,139791,0.0019568466,0.1033846153846154,0.0,0.0019568466,0.38461538461538464,22.015384615384615,0.002994585,1.1748605
1057,0.851063829787234,15.493190498989605,658.7648572921753,149808,0.0023603821,0.10893617021276596,0.0,0.0023603821,0.14893617021276595,27.23404255319149,0.0017886965,1.1572878
1110,0.7547169811320755,14.181290566999609,701.5508818626404,159841,0.0018083404,0.10529674099485421,0.0,0.0018083404,0.24528301886792453,25.09433962264151,0.0010616692,1.1642467
1162,0.7692307692307693,13.832063865789845,748.7131958007812,169861,0.0015947113,0.1031794871794872,0.0,0.0015947113,0.23076923076923078,24.21153846153846,0.0018475485,1.1603789
1224,0.6451612903225806,12.953785498905305,789.3531749248505,179895,0.0017636901,0.11329032258064513,0.0,0.0017636901,0.3548387096774194,22.725806451612904,0.0016550053,1.1411918
1291,0.5970149253731343,10.636554546835939,836.3288493156433,189978,0.0025683246,0.0912638427296715,0.0,0.0025683246,0.40298507462686567,18.582089552238806,0.005045299,1.0883962
1348,0.6842105263157895,12.768840888067405,879.4877595901489,199788,0.0021042374,0.10186071238702821,0.0,0.0021042374,0.3157894736842105,22.017543859649123,0.0025936523,1.0634214
1404,0.7142857142857143,12.553247322751933,915.8353404998779,209814,0.0021086014,0.08857142857142859,0.0,0.0021086014,0.2857142857142857,22.142857142857142,0.002293401,1.0806228
1453,0.8163265306122449,15.663629530413775,960.8585300445557,219833,0.0023202484,0.11053061224489799,0.0,0.0023202484,0.1836734693877551,27.632653061224488,0.0028518264,1.0587382
1506,0.7547169811320755,13.519663436473108,1010.0261921882629,229848,0.0021495097,0.11851572327044027,0.0,0.0021495097,0.24528301886792453,23.37735849056604,0.005017056,1.0781643
1565,0.6779661016949152,12.38860705357652,1051.649694442749,239895,0.002638031,0.08876836158192093,0.0,0.002638031,0.3220338983050847,21.661016949152543,0.0017314409,1.0606643
1611,0.8695652173913043,15.599951952617502,1098.1551909446716,249907,0.0024855416,0.1097391304347826,0.0,0.0024855416,0.13043478260869565,27.434782608695652,0.0017309404,1.0567063
1669,0.6896551724137931,12.66116680759385,1142.5649547576904,259951,0.0023734802,0.09318007662835252,0.0,0.0023734802,0.3103448275862069,22.29310344827586,0.0017177647,1.0456349
1725,0.7142857142857143,13.188207363873284,1185.4064729213715,269983,0.00221688,0.14805102040816326,0.0,0.00221688,0.2857142857142857,23.089285714285715,0.002968407,1.0355881
1776,0.7647058823529411,14.917320777718752,1226.5481564998627,279951,0.0019812577,0.1067233334428132,0.0,0.0019812577,0.23529411764705882,26.0,0.001266769,1.032965
1841,0.6153846153846154,11.404464932973484,1266.9046802520752,289998,0.0021025985,0.10362197802197802,0.0,0.0021025985,0.38461538461538464,19.93846153846154,0.0032293869,0.98720163
1893,0.75,13.598366772355785,1312.5362300872803,299763,0.0031455443,0.09530769230769232,0.0,0.0031455443,0.25,23.826923076923077,0.004089413,1.0009171
1946,0.7547169811320755,14.26703941297759,1359.257797718048,309832,0.002632724,0.11007776435232522,0.0,0.002632724,0.24528301886792453,24.77358490566038,0.003528736,0.99613476
2005,0.6779661016949152,13.731000229308098,1403.376724243164,319939,0.0035942383,0.10059499114596508,0.0,0.0035942383,0.3220338983050847,23.76271186440678,0.003909068,1.0011048
2064,0.6610169491525424,12.34861880759492,1451.953454732895,329753,0.0035031922,0.11383804143126175,0.0,0.0035031922,0.3389830508474576,21.593220338983052,0.0044146613,0.9876705
2130,0.6060606060606061,11.16979863839996,1493.7912902832031,339939,0.0028098205,0.08698795000093701,0.0,0.0028098205,0.3939393939393939,19.651515151515152,0.0026190747,0.9948793
2179,0.7959183673469388,16.290688392627633,1533.251751422882,349777,0.0026798863,0.12120488732733631,0.0,0.0026798863,0.20408163265306123,28.081632653061224,0.0024619836,1.0088315
2237,0.6724137931034483,13.562351091390969,1580.868456363678,359880,0.0028615235,0.11182077671249252,0.0,0.0028615235,0.3275862068965517,23.620689655172413,0.0021234874,0.9928338
2302,0.6,12.292039608879097,1623.5089600086212,369934,0.0023741943,0.1004162848250584,0.0,0.0023741943,0.4,21.353846153846153,0.0023644054,0.96696013
2356,0.7222222222222222,14.002547171834442,1663.189983844757,379755,0.0034499997,0.11035058768392103,0.0,0.0034499997,0.2777777777777778,24.35185185185185,0.004012719,0.9491791
2408,0.7692307692307693,15.128916288141985,1709.748119354248,389785,0.002719442,0.1084965034965035,0.0,0.002719442,0.23076923076923078,26.28846153846154,0.003337066,0.9543474
2465,0.7017543859649122,13.041632000809916,1756.8798832893372,399870,0.002767062,0.11657571591936919,0.0,0.002767062,0.2982456140350877,22.56140350877193,0.0035221672,0.91229415
2515,0.8,14.898427439501274,1797.6183717250824,409932,0.0037026734,0.11913855921855926,0.0,0.0037026734,0.2,26.14,0.0049045403,0.9173585
2573,0.6896551724137931,12.305269619499345,1837.3041977882385,419958,0.0025201805,0.091816091954023,0.0,0.0025201805,0.3103448275862069,21.53448275862069,0.0014926868,0.903897
2624,0.7843137254901961,14.632945119139535,1882.0015773773193,429997,0.0018321091,0.11120074696545287,0.0,0.0018321091,0.21568627450980393,25.45098039215686,0.0011563699,0.9157052
2679,0.7090909090909091,14.479192291682962,1929.210785150528,439929,0.002633812,0.10468981718918029,0.0,0.002633812,0.2909090909090909,25.21818181818182,0.004795869,0.93868124
2730,0.7843137254901961,14.964182250719572,1973.9241473674774,449944,0.0038644103,0.10462745098039214,0.0,0.0038644103,0.21568627450980393,26.15686274509804,0.0075813173,0.9712585
2787,0.6842105263157895,14.336882550612017,2019.3481254577637,459790,0.0034421696,0.11973707484743137,0.0,0.0034421696,0.3157894736842105,25.31578947368421,0.0029048375,0.9518371
