EpisodesSoFar,meankl,AttC,entropy,MtR,entloss,surrgain,AttNC,TimeElapsed,TimestepsSoFar,TtR,Fce,optimgain
132,0.002986112,0.7121212121212122,1.4039961,6.537410649167223,0.0,0.0010831741,0.2878787878787879,39.48007082939148,9942,11.083333333333334,0.06987101023080006,0.0010831741
242,0.006884981,0.6545454545454545,1.3840945,7.445869888419478,0.0,0.0025095702,0.34545454545454546,80.93640160560608,19786,12.736363636363636,0.07813815515227683,0.0025095702
314,0.0018370197,0.4444444444444444,1.3639354,11.286707377419889,0.0,0.0016823272,0.5555555555555556,121.22119927406311,29968,19.458333333333332,0.10278754207064708,0.0016823272
399,0.0032041443,0.5411764705882353,1.3350973,9.516965715109187,0.0,0.0018968659,0.4588235294117647,158.25777792930603,39868,16.458823529411763,0.1021832163832402,0.0018968659
459,0.0016029224,0.3333333333333333,1.3226928,12.888708003345018,0.0,0.0019450317,0.6666666666666666,201.24866199493408,49942,22.7,0.0966103896103896,0.0019450317
518,0.0014890145,0.3220338983050847,1.3048093,13.544149920398338,0.0,0.0015868774,0.6779661016949152,243.00443077087402,59999,23.949152542372882,0.10948722087705139,0.0015868774
576,0.0018499746,0.3275862068965517,1.2968714,13.135196928153745,0.0,0.0014191101,0.6724137931034483,284.02844619750977,69854,22.67241379310345,0.1088112988040393,0.0014191101
650,0.0035127064,0.47297297297297297,1.2647659,10.714867627254959,0.0,0.0023089051,0.527027027027027,328.84370613098145,79803,18.41891891891892,0.09223411663692811,0.0023089051
707,0.00096152927,0.2982456140350877,1.2676955,13.951655104690031,0.0,0.0015201729,0.7017543859649122,366.4055755138397,89884,24.24561403508772,0.10269905533063427,0.0015201729
776,0.001802837,0.43478260869565216,1.254579,11.776899339234513,0.0,0.0014716709,0.5652173913043478,404.1620545387268,99818,20.536231884057973,0.09501958121745442,0.0014716709
838,0.002487447,0.3548387096774194,1.2374271,12.02357169212912,0.0,0.0018925972,0.6451612903225806,442.98646545410156,109960,20.870967741935484,0.09947454658150755,0.0018925972
900,0.0028148876,0.3709677419354839,1.2172648,12.145881754761046,0.0,0.0016723931,0.6290322580645161,481.9265236854553,119963,21.032258064516128,0.1040129358482449,0.0016723931
961,0.0026421994,0.36065573770491804,1.2168009,12.54963384117837,0.0,0.0018764023,0.639344262295082,522.9199302196503,129867,21.688524590163933,0.09786217887137522,0.0018764023
1030,0.0018982708,0.42028985507246375,1.1957384,11.968103544029093,0.0,0.0020138184,0.5797101449275363,567.9254417419434,139944,20.63768115942029,0.1212773177376758,0.0020138184
1103,0.0015499755,0.4657534246575342,1.203124,11.273066180238349,0.0,0.0015741623,0.5342465753424658,605.2233440876007,149906,19.438356164383563,0.09645380684645422,0.0015741623
1179,0.0031363335,0.4868421052631579,1.173295,10.5693945020324,0.0,0.0021665252,0.5131578947368421,649.5625166893005,159835,18.32894736842105,0.09845187504440474,0.0021665252
1251,0.0062186373,0.4583333333333333,1.1505116,11.320713405972405,0.0,0.00316662,0.5416666666666666,689.7502791881561,169880,19.430555555555557,0.11031659273357149,0.00316662
1309,0.004748721,0.3103448275862069,1.1166337,13.55789821279563,0.0,0.0027928054,0.6896551724137931,727.8986585140228,179942,23.379310344827587,0.094263483642794,0.0027928054
1364,0.0017027191,0.2727272727272727,1.116194,13.651617361852999,0.0,0.0021749085,0.7272727272727273,765.0559885501862,189971,24.072727272727274,0.09945123966942152,0.0021749085
1417,0.0014491604,0.24528301886792453,1.1191404,14.89232447899728,0.0,0.0018708007,0.7547169811320755,804.5453450679779,200000,26.20754716981132,0.11972686433063792,0.0018708007
1467,0.002760262,0.22,1.095685,15.009373070701258,0.0,0.0026293083,0.78,845.0820512771606,209781,26.1,0.10828040404040407,0.0026293083
1517,0.0019045757,0.2,1.0821099,15.430521281305653,0.0,0.0020091857,0.8,890.0440075397491,219797,26.74,0.13346666666666665,0.0020091857
1574,0.0030894876,0.2982456140350877,1.0664077,13.693118829935683,0.0,0.0023074006,0.7017543859649122,927.4374282360077,229884,23.666666666666668,0.1038408164338883,0.0023074006
1625,0.001276945,0.21568627450980393,1.0581661,14.919961437023979,0.0,0.0021718289,0.7843137254901961,966.4050586223602,239895,26.03921568627451,0.10415686274509804,0.0021718289
1684,0.0026492146,0.3220338983050847,1.0331361,13.6116308837064,0.0,0.0021900102,0.6779661016949152,1005.2797877788544,249960,23.779661016949152,0.10951457407226942,0.0021900102
1743,0.004607625,0.3220338983050847,0.9915964,13.233060578958382,0.0,0.0034322524,0.6779661016949152,1044.2406380176544,259993,22.966101694915253,0.11990960451977399,0.0034322524
1791,0.0034752476,0.1875,0.99047226,15.84893276384881,0.0,0.0027840424,0.8125,1085.8290975093842,269768,27.541666666666668,0.11529100529100529,0.0027840424
1843,0.0022406417,0.23076923076923078,0.991089,15.092854244847869,0.0,0.002450376,0.7692307692307693,1128.990369796753,279836,26.192307692307693,0.11361924054231745,0.002450376
1898,0.0025044435,0.2727272727272727,0.96993417,14.377403495645018,0.0,0.0027880662,0.7272727272727273,1166.420282125473,289911,25.09090909090909,0.1430268398268398,0.0027880662
1958,0.0016910854,0.3333333333333333,0.958212,13.069975105880019,0.0,0.0022199901,0.6666666666666666,1207.1805381774902,299939,22.85,0.13008888888888884,0.0022199901
2010,0.0030647193,0.23076923076923078,0.92513055,14.352332754693068,0.0,0.0027928788,0.7692307692307693,1249.213504076004,309989,25.153846153846153,0.11024375624375629,0.0027928788
2062,0.0046904893,0.25,0.8734755,14.364491566524244,0.0,0.0028560334,0.75,1287.7291991710663,319756,25.057692307692307,0.10023076923076926,0.0028560334
2115,0.0038083657,0.24528301886792453,0.89208966,14.563899980445298,0.0,0.003604914,0.7547169811320755,1333.2779178619385,329857,25.264150943396228,0.1037696642979662,0.003604914
2169,0.001966209,0.25925925925925924,0.89185137,13.756545795858816,0.0,0.002978856,0.7407407407407407,1376.7997105121613,339921,23.925925925925927,0.11963041348226532,0.002978856
2222,0.0022065206,0.2830188679245283,0.8845201,14.491129677677657,0.0,0.0027823623,0.7169811320754716,1412.8517799377441,349864,25.30188679245283,0.1240915816604095,0.0027823623
2277,0.0029549652,0.2727272727272727,0.8638084,13.639506609090269,0.0,0.003663878,0.7272727272727273,1451.4536368846893,359927,23.69090909090909,0.10285805422647527,0.003663878
2329,0.0028299592,0.25,0.84673476,14.92776547702099,0.0,0.0033923837,0.75,1492.3859782218933,369806,26.03846153846154,0.11472899869661002,0.0033923837
2384,0.003263316,0.2909090909090909,0.8259352,13.203706570980833,0.0,0.0036896209,0.7090909090909091,1532.3308136463165,379926,22.87272727272727,0.10069191373180689,0.0036896209
2429,0.0030576137,0.13333333333333333,0.826233,16.914979629880825,0.0,0.003225231,0.8666666666666667,1572.0170936584473,389804,29.266666666666666,0.1182038567493113,0.003225231
2481,0.0029424634,0.23076923076923078,0.81919056,15.0259154419298,0.0,0.0035,0.7692307692307693,1610.7862930297852,399890,26.096153846153847,0.11897522989830683,0.0035
2539,0.0036800522,0.3275862068965517,0.8208981,13.77447541794749,0.0,0.0039510275,0.6724137931034483,1654.875943183899,409961,23.75862068965517,0.10739887779841545,0.0039510275
2589,0.0062159216,0.2,0.78955084,15.119876760529225,0.0,0.004198175,0.8,1696.0075480937958,419971,26.54,0.10616000000000002,0.004198175
2632,0.003641475,0.06976744186046512,0.8108445,16.90527070758748,0.0,0.0038549728,0.9302325581395349,1732.192669391632,429976,29.162790697674417,0.11665116279069769,0.0038549728
2681,0.0034957412,0.22448979591836735,0.802307,14.66846588222532,0.0,0.0041659456,0.7755102040816326,1770.8115780353546,439775,25.775510204081634,0.1113481560415618,0.0041659456
2729,0.0045896643,0.16666666666666666,0.7948549,15.303315929796229,0.0,0.0032711257,0.8333333333333334,1813.2698097229004,449807,26.75,0.10902631578947374,0.0032711257
2781,0.0044504977,0.23076923076923078,0.76815784,14.489727809197445,0.0,0.0030170653,0.7692307692307693,1853.6086869239807,459835,25.0,0.10753846153846157,0.0030170653
2828,0.0025993907,0.14893617021276595,0.7638555,14.974556291729321,0.0,0.0030258605,0.851063829787234,1893.9993741512299,469886,26.21276595744681,0.10966094715168154,0.0030258605
2873,0.0036582223,0.1111111111111111,0.7471844,15.50623846940515,0.0,0.001973069,0.8888888888888888,1935.802583694458,479899,26.866666666666667,0.1147851851851852,0.001973069
2925,0.0032445244,0.23076923076923078,0.7737122,13.142006410246431,0.0,0.0030562608,0.7692307692307693,1974.9421617984772,489913,22.96153846153846,0.09184615384615386,0.0030562608
2976,0.0023167438,0.21568627450980393,0.75585943,13.640183797561942,0.0,0.0026896722,0.7843137254901961,2015.6901032924652,499952,24.137254901960784,0.09927170868347342,0.0026896722
3020,0.0037550346,0.11363636363636363,0.8038088,15.7015004030392,0.0,0.002522722,0.8863636363636364,2056.5095801353455,509809,27.045454545454547,0.10973874669020303,0.002522722
3068,0.0028499062,0.16666666666666666,0.8322159,14.913823535312316,0.0,0.0028098205,0.8333333333333334,2096.7162408828735,519875,26.041666666666668,0.10596631205673761,0.0028098205
3119,0.0034883185,0.21568627450980393,0.7951277,14.45566144546183,0.0,0.0038448037,0.7843137254901961,2136.81574678421,529906,24.92156862745098,0.12207541478129709,0.0038448037
3171,0.0032435227,0.25,0.771735,14.20360877773898,0.0,0.002646463,0.75,2178.0733172893524,539755,24.53846153846154,0.11230303030303034,0.002646463
3217,0.0027059016,0.13043478260869565,0.77403986,14.647928317287006,0.0,0.00289796,0.8695652173913043,2213.127793073654,549763,25.782608695652176,0.10313043478260871,0.00289796
3265,0.0047829603,0.16666666666666666,0.7585445,15.613970873257719,0.0,0.003349881,0.8333333333333334,2257.7456550598145,559773,27.1875,0.12950000000000003,0.003349881
3310,0.005035219,0.1111111111111111,0.69991857,15.416443785871977,0.0,0.0041057128,0.8888888888888888,2297.3166451454163,569778,26.644444444444446,0.1065777777777778,0.0041057128
3355,0.0038697224,0.1111111111111111,0.70190257,16.01254308412005,0.0,0.0038822659,0.8888888888888888,2337.0042231082916,579785,28.08888888888889,0.1123555555555556,0.0038822659
3401,0.0034197494,0.13043478260869565,0.6991794,14.496478044607173,0.0,0.0029136261,0.8695652173913043,2375.4732060432434,589791,25.58695652173913,0.10234782608695654,0.0029136261
3446,0.003744686,0.1111111111111111,0.71506447,16.296620959872445,0.0,0.004378363,0.8888888888888888,2413.166003227234,599800,28.711111111111112,0.11484444444444449,0.004378363
3496,0.0023231178,0.2,0.7142051,15.442976501409166,0.0,0.0031643875,0.8,2450.0656361579895,609812,26.92,0.10768000000000001,0.0031643875
3548,0.0027375629,0.23076923076923078,0.7062446,14.88598650579451,0.0,0.00349814,0.7692307692307693,2493.226837158203,619834,25.71153846153846,0.11928205128205126,0.00349814
3596,0.0019030758,0.16666666666666666,0.6941523,14.115274243806892,0.0,0.003181086,0.8333333333333334,2533.271390914917,629858,24.604166666666668,0.1052777777777778,0.003181086
3639,0.002485836,0.06976744186046512,0.6940392,16.90216773046921,0.0,0.0036279664,0.9302325581395349,2572.106824874878,639865,29.627906976744185,0.11851162790697675,0.0036279664
3682,0.003008607,0.06976744186046512,0.66168153,17.367556345491007,0.0,0.003121048,0.9302325581395349,2613.286190032959,649868,30.069767441860463,0.12027906976744185,0.003121048
3732,0.0021348072,0.2,0.63240594,14.418841245354145,0.0,0.002564199,0.8,2654.3920595645905,659904,25.18,0.11667047619047624,0.002564199
3782,0.0034397976,0.2,0.58630574,15.274160036326649,0.0,0.0036503868,0.8,2693.8179075717926,669918,26.68,0.11456000000000001,0.0036503868
3826,0.0026042238,0.09090909090909091,0.56519604,15.322235288698094,0.0,0.004084636,0.9090909090909091,2732.644493818283,679930,26.90909090909091,0.11250505050505052,0.004084636
3872,0.0037679572,0.13043478260869565,0.55625236,15.195099600870954,0.0,0.0033063751,0.8695652173913043,2772.6351416110992,689936,26.891304347826086,0.12921739130434784,0.0033063751
3916,0.0047009,0.09090909090909091,0.53055763,16.47130534817901,0.0,0.004249409,0.9090909090909091,2811.313613176346,699940,28.5,0.11399999999999998,0.004249409
3963,0.0031986453,0.14893617021276595,0.5145233,15.09914761891496,0.0,0.0035125706,0.851063829787234,2852.025619983673,709953,26.382978723404257,0.10553191489361706,0.0035125706
4008,0.0034022443,0.1111111111111111,0.5498679,14.732455513156177,0.0,0.003676651,0.8888888888888888,2892.3269424438477,719958,25.466666666666665,0.1018666666666667,0.003676651
4053,0.0024148854,0.1111111111111111,0.5487664,16.391017795756486,0.0,0.0033986627,0.8888888888888888,2936.1669402122498,729965,28.266666666666666,0.11306666666666669,0.0033986627
4097,0.0050264923,0.09090909090909091,0.5597508,16.87541786501359,0.0,0.0063448213,0.9090909090909091,2972.840493917465,739969,29.09090909090909,0.1163636363636364,0.0063448213
4143,0.003577507,0.13043478260869565,0.52862316,15.577666304620266,0.0,0.004818018,0.8695652173913043,3012.45294213295,749977,27.32608695652174,0.10930434782608697,0.004818018
4190,0.002684381,0.1702127659574468,0.54611194,15.53336970981494,0.0,0.0038226745,0.8297872340425532,3054.151104450226,759775,27.148936170212767,0.1155501519756839,0.0038226745
4235,0.0051302398,0.1111111111111111,0.54150397,15.9108618883928,0.0,0.004435437,0.8888888888888888,3093.3408772945404,769780,27.8,0.11120000000000003,0.004435437
