EpisodesSoFar,TimestepsSoFar,AttC,TtR,TimeElapsed,surrgain,AttNC,entropy,MtR,meankl,entloss,Fce,optimgain
43,9814,7.069767441860465,413.25581395348837,136.59868597984314,3.1279906e-05,2.9302325581395348,1.4205323,23.83108314639501,0.00016439494,0.0,0.16986311283703276,3.1279906e-05
85,19830,7.5476190476190474,412.3809523809524,263.30856943130493,0.00042292586,2.4523809523809526,1.4232291,23.59498132923513,0.0069103767,0.0,0.16495238095238096,0.00042292586
136,29754,7.0,507.84313725490193,388.95758533477783,0.002068205,3.0,1.4226187,29.861012014769685,0.0024794333,0.0,0.22571338917179734,0.002068205
187,39981,7.137254901960785,454.11764705882354,522.4644756317139,0.0008760709,2.8627450980392157,1.4249822,27.287755151032105,0.006116042,0.0,0.21179500645586097,0.0008760709
247,49904,7.216666666666667,484.0,651.378166437149,0.0030890533,2.783333333333333,1.4179794,29.321306457571396,0.0037364645,0.0,0.23899446639045507,0.0030890533
316,59823,7.202898550724638,433.6231884057971,777.2348177433014,0.0025000663,2.7971014492753623,1.4068569,26.737913542238108,0.00290547,0.0,0.23612701427651156,0.0025000663
392,69974,7.342105263157895,429.60526315789474,903.763073682785,0.00090981444,2.6578947368421053,1.3906716,26.793228130247677,0.0011910958,0.0,0.266627802453636,0.00090981444
470,79768,6.615384615384615,449.1025641025641,1039.4512553215027,0.0012043905,3.3846153846153846,1.3830457,27.153058512522577,0.0024732829,0.0,0.26020007837037307,0.0012043905
531,89773,5.377049180327869,581.311475409836,1160.945214509964,0.0016796555,4.622950819672131,1.3720558,35.10862654280272,0.006757332,0.0,0.30681914529473653,0.0016796555
601,99821,5.985714285714286,598.2857142857143,1295.7409114837646,0.0009036693,4.014285714285714,1.3393518,36.220174952108444,0.003246654,0.0,0.32315128844855107,0.0009036693
667,109914,5.075757575757576,715.9090909090909,1434.6496562957764,0.0011094393,4.924242424242424,1.3222059,42.560774797364395,0.0019404822,0.0,0.3641063475402236,0.0011094393
731,119999,4.9375,775.625,1565.3290357589722,0.0010437892,5.0625,1.3027838,45.77370224991966,0.002348556,0.0,0.371682849036902,0.0010437892
793,129872,4.758064516129032,855.0,1694.5456223487854,0.0008540242,5.241935483870968,1.2788706,50.70231377130708,0.0012191484,0.0,0.41389848592285,0.0008540242
861,139993,5.352941176470588,765.5882352941177,1823.9767730236053,0.0014422302,4.647058823529412,1.2631226,45.31100527519223,0.0011132646,0.0,0.383592876968415,0.0014422302
