TimestepsSoFar,AttNC,MtR,EpisodesSoFar,entloss,meankl,Fce,entropy,TimeElapsed,AttC,TtR,optimgain,surrgain
9793,2.9761904761904763,22.554078011813008,42,0.0,0.0055324766,0.16437118437118436,1.4191334,137.3254463672638,7.023809523809524,391.6666666666667,0.00018251342,0.00018251342
19998,2.9166666666666665,26.044126336358815,90,0.0,0.0012713062,0.1912480181397984,1.4194345,275.90440607070923,7.083333333333333,440.625,0.0009337451,0.0009337451
29882,2.22,23.673533071140724,140,0.0,0.0077481526,0.1789678019709478,1.4108124,408.70233273506165,7.78,395.6,0.0016177326,0.0016177326
39872,1.9838709677419355,23.95692281303253,202,0.0,0.0037303604,0.21624266507025577,1.404365,539.1098482608795,8.016129032258064,382.258064516129,0.0039361287,0.0039361287
49764,1.986842105263158,21.695581658486034,278,0.0,0.0034515965,0.20953665402225552,1.3930806,666.2680497169495,8.013157894736842,343.55263157894734,0.0028656237,0.0028656237
59856,2.5185185185185186,23.649958788036844,359,0.0,0.0017832489,0.2253207130835203,1.3734244,802.75128698349,7.481481481481482,380.12345679012344,0.0013779617,0.0013779617
69878,3.0625,27.154135123806356,439,0.0,0.003219414,0.2739546130701436,1.33276,951.4891631603241,6.9375,435.75,0.0012189061,0.0012189061
79936,3.671232876712329,31.184961510951382,512,0.0,0.0016774094,0.2991738451596015,1.3211178,1089.260761499405,6.328767123287672,507.3972602739726,0.0011506651,0.0011506651
89838,4.390625,36.73955299312772,576,0.0,0.0034714306,0.3178508808829225,1.2976716,1221.5244834423065,5.609375,605.78125,0.0011794951,0.0011794951
99877,4.402985074626866,36.70671061474056,643,0.0,0.007491368,0.3243012991708105,1.2697717,1361.1648437976837,5.597014925373134,615.223880597015,0.00076302566,0.00076302566
109778,5.684210526315789,50.063153727044686,700,0.0,0.001674812,0.41143191620263275,1.2547034,1485.3244569301605,4.315789473684211,847.719298245614,0.0011592342,0.0011592342
119774,6.0,53.060585948243116,757,0.0,0.0018983767,0.4321322386077801,1.2461698,1612.0317478179932,4.0,907.0175438596491,0.0012829533,0.0012829533
129950,5.419354838709677,51.04605124836689,819,0.0,0.0018339265,0.41129662553365837,1.2167845,1747.8336589336395,4.580645161290323,868.2258064516129,0.0012117343,0.0012117343
139997,4.9523809523809526,48.436078636936365,882,0.0,0.0014845148,0.40373507982886425,1.2050749,1879.9684677124023,5.0476190476190474,815.5555555555555,0.0008773932,0.0008773932
149944,5.796610169491525,54.531332811242315,941,0.0,0.0037311402,0.4348288064469132,1.1822993,2018.2891426086426,4.203389830508475,930.1694915254237,0.0010963931,0.0010963931
159846,6.033898305084746,59.57580434088764,1000,0.0,0.002373206,0.4691588746013883,1.1637539,2138.4926464557648,3.9661016949152543,1024.915254237288,0.00094019563,0.00094019563
169834,6.228070175438597,65.37500949749202,1057,0.0,0.0019071136,0.5140272257488158,1.1307971,2275.531135082245,3.7719298245614037,1122.8070175438597,0.0011573334,0.0011573334
179971,7.384615384615385,77.21404266524966,1109,0.0,0.0035640274,0.5730006694263357,1.1076514,2402.47762966156,2.6153846153846154,1334.6153846153845,0.001100717,0.001100717
189771,7.854166666666667,87.53328519867655,1157,0.0,0.0017476336,0.6515751093621083,1.1025212,2540.9551632404327,2.1458333333333335,1522.2916666666667,0.0005005158,0.0005005158
199864,6.964285714285714,82.94086137193058,1213,0.0,0.001940867,0.6449783190629718,1.0626256,2663.4429354667664,3.0357142857142856,1434.642857142857,0.0008324899,0.0008324899
209914,8.863636363636363,104.15301636991909,1257,0.0,0.0027820142,0.7404805194805193,1.0405128,2784.642832517624,1.1363636363636365,1816.8181818181818,0.0008763162,0.0008763162
219787,8.840909090909092,109.32376923036718,1301,0.0,0.0030954962,0.7822696373394048,0.9968214,2898.3277909755707,1.1590909090909092,1908.1818181818182,0.00055348617,0.00055348617
229929,8.0,103.98396677175418,1351,0.0,0.002521823,0.7701454387007328,0.94895774,3018.853537082672,2.0,1816.2,0.000477233,0.000477233
239972,9.279069767441861,122.29869639609167,1394,0.0,0.002801507,0.8759785236003828,0.92985344,3140.5657391548157,0.7209302325581395,2134.8837209302324,0.000576862,0.000576862
249763,8.863636363636363,119.60922025911131,1438,0.0,0.0057187965,0.8603864106907587,0.8603471,3253.020009994507,1.1363636363636365,2092.2727272727275,0.0003376066,0.0003376066
259795,8.977272727272727,125.19990380353083,1482,0.0,0.00922742,0.9039239453357102,0.767787,3372.6550509929657,1.0227272727272727,2188.409090909091,0.00050102005,0.00050102005
269811,9.428571428571429,132.5351360063638,1524,0.0,0.005742561,0.9380366300366303,0.84500927,3497.3456852436066,0.5714285714285714,2319.0476190476193,0.00032269975,0.00032269975
279880,9.279069767441861,129.94754274913836,1567,0.0,0.0089221,0.9238482494186763,0.9425258,3615.794060945511,0.7209302325581395,2270.232558139535,0.000270835,0.000270835
289878,8.25531914893617,114.41044577512571,1614,0.0,0.010149987,0.8383248353038415,0.845055,3740.382477760315,1.7446808510638299,1991.7021276595744,0.00042809747,0.00042809747
299984,8.630434782608695,121.28566666334397,1660,0.0,0.010164738,0.8897923207488424,0.74751794,3854.7700991630554,1.3695652173913044,2114.5652173913045,0.00053463684,0.00053463684
309763,9.285714285714286,130.97755234713648,1702,0.0,0.010067474,0.9417803360660505,0.6504226,3969.1624031066895,0.7142857142857143,2290.714285714286,0.00018219562,0.00018219562
319780,9.75609756097561,138.51645620286024,1743,0.0,0.008917945,0.9760516499282638,0.7479261,4085.1838433742523,0.24390243902439024,2423.4146341463415,0.00012434345,0.00012434345
329849,8.51063829787234,120.08823301666281,1790,0.0,0.008933204,0.8700738316057465,0.8455199,4206.876693487167,1.4893617021276595,2100.2127659574467,0.00014259419,0.00014259419
