TimestepsSoFar,TimeElapsed,Fce,TtR,AttC,entropy,optimgain,entloss,EpisodesSoFar,MtR,surrgain,AttNC,meankl
9849,60.94210886955261,0.11160314540129689,65.77272727272727,2.272727272727273,1.4194453,0.0009732605,0.0,66,12.799739610779138,0.0009732605,0.7272727272727273,0.007544488
19994,122.02688837051392,0.13334924497288206,85.94117647058823,1.8823529411764706,1.4274039,0.0004996984,0.0,117,16.523383983049698,0.0004996984,1.1176470588235294,0.004639794
29976,182.84425806999207,0.15149404021658203,77.13559322033899,2.169491525423729,1.4174047,0.0009088002,0.0,176,15.083974433587588,0.0009088002,0.8305084745762712,0.0053402726
39881,253.73309183120728,0.10641642279289339,71.65,2.0166666666666666,1.416137,0.0010478622,0.0,236,13.89688018302355,0.0010478622,0.9833333333333333,0.0021777584
49907,315.17070388793945,0.11954545454545457,89.6590909090909,1.6136363636363635,1.4136852,0.0008476392,0.0,280,16.946000773563114,0.0008476392,1.3863636363636365,0.0005445281
59803,377.7150807380676,0.144116012223952,89.29787234042553,1.6170212765957446,1.4177626,0.0007400996,0.0,327,17.209695802610884,0.0007400996,1.3829787234042554,0.003349655
69989,441.68287658691406,0.13181148722684094,84.23076923076923,1.7307692307692308,1.4198089,0.00062051695,0.0,379,16.285293644210196,0.00062051695,1.2692307692307692,0.0021203018
79989,505.79040336608887,0.13979999999999998,104.85,1.5,1.4258258,0.0007473775,0.0,419,19.85365384397962,0.0007473775,1.5,0.0015626813
89999,566.831333398819,0.15727272727272726,100.97727272727273,1.4772727272727273,1.436244,0.0004953165,0.0,463,19.403137163458126,0.0004953165,1.5227272727272727,0.00068881887
99889,637.5940268039703,0.14149160895657084,85.53061224489795,1.7551020408163265,1.4289173,0.001087236,0.0,512,16.323606670917712,0.001087236,1.2448979591836735,0.0020169616
109926,700.8636679649353,0.13248654970760232,96.93333333333334,1.6888888888888889,1.4309525,0.0007761607,0.0,557,18.853728695241085,0.0007761607,1.3111111111111111,0.0021719818
119840,759.0110709667206,0.13441052025891284,92.1063829787234,1.851063829787234,1.4276146,0.0007718787,0.0,604,17.625323841516074,0.0007718787,1.148936170212766,0.0031345026
129887,826.8867001533508,0.14210344983906797,102.0,1.744186046511628,1.4331026,0.0009302345,0.0,647,19.594246169959018,0.0009302345,1.255813953488372,0.0013386261
139820,886.9060218334198,0.15425754585678964,93.78260869565217,1.7391304347826086,1.4268448,0.0011168808,0.0,693,18.055783637701108,0.0011168808,1.2608695652173914,0.0017927414
149915,951.1581547260284,0.1293142794875387,89.38775510204081,1.7551020408163265,1.4179575,0.0008679281,0.0,742,17.121019072182317,0.0008679281,1.2448979591836735,0.0011530427
159978,1012.228086233139,0.1615238095238095,94.73333333333333,1.5333333333333334,1.4321749,0.000912543,0.0,787,17.86409744547864,0.000912543,1.4666666666666666,0.002416329
169983,1072.8148815631866,0.1354146341463415,101.5609756097561,1.5121951219512195,1.4501083,0.0010258253,0.0,828,19.24914587715237,0.0010258253,1.4878048780487805,0.004150574
179862,1139.3855891227722,0.12596906825723214,86.1923076923077,2.0384615384615383,1.4253794,0.0012544579,0.0,880,16.553916023738374,0.0012544579,0.9615384615384616,0.0028039862
189953,1198.3463344573975,0.14511885709566869,98.33333333333333,1.5777777777777777,1.4318476,0.0011333893,0.0,925,18.786537697864485,0.0011333893,1.4222222222222223,0.0018524121
199774,1255.8033201694489,0.14535438674524628,88.04347826086956,1.3695652173913044,1.4241103,0.0007871226,0.0,971,16.91813002089137,0.0007871226,1.6304347826086956,0.0012687912
209806,1325.9974637031555,0.13466666666666663,92.93181818181819,1.4545454545454546,1.4273331,0.0008778687,0.0,1015,17.850406276521067,0.0008778687,1.5454545454545454,0.0029458976
219850,1389.6910135746002,0.15383195592286503,90.81818181818181,1.4318181818181819,1.4139411,0.0012904926,0.0,1059,17.11129644388125,0.0012904926,1.5681818181818181,0.001956775
229856,1448.929738521576,0.12742857142857147,95.57142857142857,1.2380952380952381,1.428307,0.0012328248,0.0,1101,18.024582454792533,0.0012328248,1.7619047619047619,0.0040975213
239935,1510.8986020088196,0.15098289773006232,93.69767441860465,1.255813953488372,1.4288334,0.0012263998,0.0,1144,17.87504842947865,0.0012263998,1.744186046511628,0.0018278712
249873,1572.570190191269,0.12249950207397016,84.0,1.553191489361702,1.4273771,0.0010879051,0.0,1191,16.259700479681843,0.0010879051,1.446808510638298,0.0020125955
259934,1633.1439306735992,0.12023640661938534,86.17021276595744,1.5106382978723405,1.4321194,0.0010958278,0.0,1238,16.606779900999534,0.0010958278,1.4893617021276595,0.004183693
269980,1699.2565393447876,0.11606457431457433,81.5625,1.4375,1.4422169,0.0008534991,0.0,1286,15.632365722578838,0.0008534991,1.5625,0.0016341332
279863,1755.7687883377075,0.14225101889639974,83.08695652173913,1.3695652173913044,1.4636229,0.0013628128,0.0,1332,15.900784289923834,0.0013628128,1.6304347826086956,0.0034985368
289824,1820.054786682129,0.11877212639658807,77.38888888888889,1.5925925925925926,1.4574846,0.0012168462,0.0,1386,14.967677003700532,0.0012168462,1.4074074074074074,0.0015488402
299868,1885.245284318924,0.13673652917131177,94.04347826086956,1.5869565217391304,1.4510607,0.0011237864,0.0,1432,17.991628445170566,0.0011237864,1.4130434782608696,0.0035997487
309928,1945.8982894420624,0.1569706428836863,92.6086956521739,1.5434782608695652,1.4665536,0.0010706059,0.0,1478,17.799451159630227,0.0010706059,1.4565217391304348,0.004506713
