EpisodesSoFar,TtR,Fce,TimestepsSoFar,TimeElapsed,MtR,optimgain,entloss,AttNC,surrgain,meankl,AttC,entropy
72,61.291666666666664,0.12170276394611175,9912,55.46477651596069,11.885986198384071,0.00035400313,0.0,0.625,0.00035400313,0.00037602914,2.375,1.4196002
134,75.14516129032258,0.14652757984209752,19936,113.56879806518555,14.759286994132319,0.0005568685,0.0,0.7258064516129032,0.0005568685,0.0015834589,2.274193548387097,1.4176031
191,82.47368421052632,0.1640581079566229,29797,162.2354953289032,15.936652462253845,0.0005716914,0.0,0.8947368421052632,0.0005716914,0.0019938925,2.1052631578947367,1.406727
250,78.05084745762711,0.157930294310627,39925,209.96097660064697,15.097586528927385,0.0009152237,0.0,0.8983050847457628,0.0009152237,0.0012221514,2.1016949152542375,1.400712
303,82.41509433962264,0.13425539036069972,49797,265.020254611969,15.874009036629944,0.0009877844,0.0,1.1320754716981132,0.0009877844,0.0059330943,1.8679245283018868,1.3894807
361,78.41379310344827,0.1416729060253552,59786,321.57237672805786,15.185961097606823,0.0010165696,0.0,1.0,0.0010165696,0.0039281393,2.0,1.3808624
408,95.42553191489361,0.1618614747922127,69927,372.4593389034271,18.37054637965021,0.0009480011,0.0,1.297872340425532,0.0009480011,0.0019069514,1.702127659574468,1.390211
458,90.0,0.14091333894684013,79928,420.46708512306213,17.363733815982947,0.0010105806,0.0,1.1,0.0010105806,0.0020302217,1.9,1.385862
512,79.44444444444444,0.13014832114262853,89779,474.28732681274414,15.275773795678745,0.001576204,0.0,1.1481481481481481,0.001576204,0.0048632286,1.8518518518518519,1.359543
554,98.92857142857143,0.13712605042016804,99799,527.0041632652283,18.987864005828722,0.001660058,0.0,1.6666666666666667,0.001660058,0.002381771,1.3333333333333333,1.3556279
598,93.88636363636364,0.1320707070707071,109819,579.406054019928,17.69200860510723,0.0012229879,0.0,1.4545454545454546,0.0012229879,0.0028614553,1.5454545454545454,1.3577482
639,103.46341463414635,0.13891410392364797,119842,630.4909164905548,19.688357512177433,0.0013165959,0.0,1.7804878048780488,0.0013165959,0.0016424247,1.2195121951219512,1.3720672
684,88.8,0.12098982498982501,129891,685.2262709140778,16.95605280623025,0.0015284984,0.0,1.7777777777777777,0.0015284984,0.0030640885,1.2222222222222223,1.3687737
731,83.42553191489361,0.14192024702410863,139831,735.8870449066162,16.143564517495374,0.0014886465,0.0,1.4893617021276595,0.0014886465,0.0012429532,1.5106382978723405,1.3682885
782,76.6470588235294,0.1110338164251208,149976,791.4231026172638,14.54589206309317,0.0010408355,0.0,1.4705882352941178,0.0010408355,0.0012802002,1.5294117647058822,1.3704833
829,80.23404255319149,0.13722368297913023,159848,846.0908939838409,15.27781521000082,0.0015325921,0.0,1.702127659574468,0.0015325921,0.0021510632,1.297872340425532,1.361329
878,78.18367346938776,0.11813253169926802,169758,899.4492282867432,15.305682614973572,0.001420018,0.0,1.5510204081632653,0.001420018,0.0024462508,1.4489795918367347,1.373132
922,90.81818181818181,0.1265993978870273,179993,947.8498742580414,17.447930496025403,0.0013638661,0.0,1.6818181818181819,0.0013638661,0.006913649,1.3181818181818181,1.3684562
964,89.5,0.12717460317460322,189999,1004.1451783180237,16.968089602725772,0.001095933,0.0,1.9523809523809523,0.001095933,0.0009947631,1.0476190476190477,1.3719382
1006,92.92857142857143,0.12829086229086228,199788,1052.948682308197,17.50865929658176,0.0012892769,0.0,1.5238095238095237,0.0012892769,0.0014179741,1.4761904761904763,1.3790292
